,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,B,B,B,B,C,C,C,C,D,D,D,D,,
13846,5.513,557.41669,DG 30:3,[M+Na]+,ion correlated with 12835; ion correlated with 3607; ion correlated with 8952; ion correlated with 10025,0.118,TRUE,4.83,557.41766,C33H58O5,DG,HSQDUNLUMCNXOX-NWFXIAEYNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,7.4,75,100,14.51,SXY_FDUhhuang_430_pos,557.41669:61720 558.42004:52306 559.4234:13674,105.06356:40 107.08918:81 109.09604:81 111.07865:81 119.08504:121 121.06494:40 131.06633:40 131.08722:40 133.08803:121 135.11214:121 139.07712:40 141.08778:40 145.1017:81 147.11615:81 153.10222:40 161.1286:81 170.10023:35 173.1214:40 177.10512:81 178.12965:81 180.13864:35 185.09586:40 187.1494:81 205.15329:40 214.16747:35 225.15694:40 235.10524:35 243.16841:40 255.20087:40 270.27051:40 287.06155:35 302.26971:40 303.25098:40 328.21521:35 356.08868:40 363.30402:35 377.49927:35 429.33939:35 497.36932:35 503.34393:40 506.02902:35 521.3761:81 539.40631:81 542.39484:35 557.40179:81,4817,20081,1771,110803,3790,17528,295720,670076,48030,4577,4866,2463,1038,7719,13335,2084,3106,71282.58599,170607.3752
13850,18.268,557.42639,DG 30:3,[M+Na]+,ion correlated with 22678; found in higher mz's MsMs_14948,0.059,TRUE,4.83,557.41766,C33H58O5,DG,HSQDUNLUMCNXOX-NWFXIAEYNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,92.2,99.1,27.7,75,100,17.34,SXY_FDUhhuang_433_pos,557.42639:120668 558.42974:1429890 559.4331:575425,101.06082:40 102.12554:81 118.04232:35 120.1012:81 127.14914:81 135.11781:81 143.00974:81 159.12379:81 217.19791:40 304.29825:35 424.42892:35 458.47791:40 476.49704:121 486.47348:40 494.49533:121 504.47156:121 504.49045:161 522.44055:40 540.39459:405 541.40271:1597 557.41913:1939 557.47217:503 557.5119:200,3742,2399,469,43793,10785,154086,12938,45214,1332676,1650,490366,2477,3849,8904,39900,2202,5564,127118.4312,332745.9355
13724,7.559,555.39673,DG 30:4,[M+Na]+,ion correlated with 2904,0.235,TRUE,4.49,555.40198,C33H56O5,DG,ONSQKQOVCPDMDB-ZRENGBSJNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,97.7,100,19,75,100,6.3,SXY_FDUhhuang_444_pos,555.39673:224604 556.40008:97577 557.40344:24890,102.12486:162 107.08013:40 107.10191:81 119.99109:40 121.0985:81 135.11493:121 149.04633:40 170.08678:81 181.06548:162 219.17397:35 230.25331:35 233.1167:81 241.14597:35 252.09875:81 252.12772:121 269.18192:40 274.68991:81 284.28149:40 284.29568:418 285.29236:201 289.1915:40 289.22253:121 292.16681:81 298.21396:40 391.29572:40 438.28687:81 481.31775:40 482.36163:81 510.34012:9048 555.39056:1818 555.45007:774,1132,1747,1486,60467,2626,1258582,43399,114696,13486,2597,1592430,95,601,119173,550573,510,1602,221482.5013,475799.9279
13726,7.323,555.40649,DG 30:4,[M+Na]+,,0.294,TRUE,4.49,555.40198,C33H56O5,DG,ONSQKQOVCPDMDB-ZRENGBSJNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,3.8,75,100,6.02,SXY_FDUhhuang_428_pos,555.40216:34716 556.40551:15928 557.40887:3758,132.047:2196 252.1713:35 256.25998:2889 256.2847:159 267.11829:35 337.26709:40 510.36484:40 555.37067:81,9004,1913,4782,146168,508,260796,135875,156595,54674,7539,412713,3517,10952,97777,168691,3279,2799,86916.47558,116079.4059
13728,13.729,555.41473,DG 30:4,[M+Na]+,,1,TRUE,4.49,555.40198,C33H56O5,DG,ONSQKQOVCPDMDB-ZRENGBSJNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.6,69.2,75,100,41.07,SXY_FDUhhuang_270_pos,555.40796:33621 556.41131:12073 557.41467:3124,189.16183:35 206.45503:35 219.1745:162 501.43808:40 555.41595:1489,525341,178908,377209,262997,536409,182866,416081,344650,396072,301821,313651,239039,293557,501523,267914,280960,293130,336007.5965,109269.5382
15142,13.913,577.49225,DG 31:0,[M+Na]+,adduct linked to 14080_[M+H]+; adduct linked to 15425_[M+Na]+,0.235,TRUE,6.27,577.48022,C34H66O5,DG,SUDAMEGMHNBCLW-UHFFFAOYNA-N,CCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,86.7,99.7,7.6,75,100,2.91,SXY_FDUhhuang_270_pos,577.49097:43301 578.49432:26317 579.49768:14062,105.06475:40 113.09677:81 119.98663:35 121.10174:81 133.09909:81 139.10664:35 145.10818:40 147.11418:81 157.11501:40 159.11711:81 163.14143:81 201.16206:40 534.33545:35 559.51996:81 577.50458:199 577.56189:1592,17848,3503,7412,562912,21560,448199,313301,386366,33303,7947,193151,3866,6022,888825,107540,15428,12567,178220.5432,258188.0195
14843,19.658,572.53033,DG 31:0|DG 15:0_16:0,[M+NH4]+,,0.471,TRUE,6.27,572.52484,C34H66O5,DG,PENDWALPEZESAS-UHFFFAOYNA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCC,410,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.1,30.5,66.3,100,4.93,SXY_FDUhhuang_191_pos,572.52313:9763 573.52648:4255 574.52984:4255,109.1004:40 176.25166:35 299.24268:40 313.2597:40 530.36877:35 537.47412:162 555.4212:81 572.51117:121,151544,34082,60155,46105,58756,48100,168094,73035,195106,20193,27312,43487,36155,42016,38406,21672,92871,68063.97886,53165.20958
15001,12.17,575.47614,DG 31:1,[M+Na]+,similar chromatogram in higher mz_23677,0.294,TRUE,5.8,575.4646,C34H64O5,DG,KETHIPPNIYYJGV-PFONDFGANA-N,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,97.3,99.8,36.8,75,100,4.03,SXY_FDUhhuang_270_pos,575.47137:57636 576.47472:28068 577.47808:7785,121.08006:40 135.1118:40 143.14944:35 149.12701:40 185.12791:35 222.09792:35 267.19315:35 427.81421:35 517.39526:35 539.53607:35 557.46747:81 575.46985:202,6481,2637,1236,809853,1834,276754,604773,886897,361203,2527,384182,1357,3430,949829,177939,2774,1039,263220.3096,346313.7544
14853,24.764,573.43408,DG 31:2,[M+Na]+,ion correlated with 11046; ion correlated with 11660; ion correlated with 16591,0.118,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,98.2,67,75,100,2.79,SXY_FDUhhuang_461_pos,573.44507:20528 574.44842:22277 575.45178:17730,121.10377:35 154.97565:35 185.13577:81 191.08464:81 285.25:35 544.47479:35 550.43207:81 550.5177:201 550.5506:201 555.55853:81 573.32526:81 573.42938:1031 573.48651:919 573.52008:4900 573.58728:193,269,519,479,43603,831,90235,33174,819,20538,535,851322,62,115,32494,196345,998,1415,74926.6816,206229.3843
14855,14.287,573.44019,DG 31:2,[M+Na]+,ion correlated with 40254; ion correlated with 11655; ion correlated with 5581; ion correlated with 42798; ion correlated with 11236; ion correlated with 34390; ion correlated with 6548,0.059,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,94.5,99.6,46.9,75,100,1.09,SXY_FDUhhuang_444_pos,573.44019:48090 574.44354:15472 575.4469:12772,102.12756:576 102.13749:81 104.99696:81 105.07747:40 109.10141:81 113.13529:81 127.14311:40 133.10681:40 145.10098:35 173.09099:40 177.01088:40 187.14267:81 199.14488:35 217.19275:40 257.15286:35 301.23721:40 319.23816:40 354.3205:35 357.3743:40 359.2251:81 417.2756:35 478.44687:35 505.48965:35 517.40863:35 538.42279:40 555.45593:121 571.64026:35 573.41595:431 573.46631:374 573.53015:161,84,1451,2458,1945,890,162417,1132,6208,16624,803,476889,674,116,8653,17498,870,252,41115.61484,118789.7532
14856,13.999,573.44214,DG 31:2,[M+Na]+,ion correlated with 9888; similar chromatogram in higher mz_19415,0.059,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,94.4,99.6,9,75,100,3.16,SXY_FDUhhuang_191_pos,573.44214:5916 574.44549:394 575.44885:1182,141.0631:40 141.07143:81 142.07794:162 155.05814:35 157.0999:727 157.11572:121 161.1006:35 163.1046:81 180.18828:35 203.10385:40 203.13985:121 219.17387:714 222.09528:40 229.08829:35 235.11296:40 236.11641:121 249.11432:40 251.15106:121 262.12646:35 292.17957:81 293.24521:35 307.19641:202 307.21609:121 352.27374:35 363.26666:121 363.3121:81 492.7666:35 555.4975:40 569.42749:121 569.45093:121 573.43823:202,52545,14624,33763,19232,37293,195659,55572,61396,93803,18970,110640,13791,21692,52219,105720,4221,21698,53696.29004,49023.21197
14857,19.332,573.44312,DG 31:2,[M+Na]+,ion correlated with 19994; ion correlated with 21007,0.059,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,99.2,99,40.4,75,100,2.08,SXY_FDUhhuang_444_pos,573.44312:77957 574.44647:38378 575.44983:20852,102.12735:162 105.06719:162 107.08267:35 113.0545:81 119.08118:121 122.0013:35 133.09358:81 135.1161:81 141.06848:81 153.64143:35 161.04022:81 169.04134:81 175.05994:81 185.12125:40 207.09735:40 220.04428:81 225.16368:40 283.25494:81 283.26675:121 299.26041:81 309.23364:40 374.20825:81 399.32425:40 401.24121:81 484.10544:35 528.42651:81 529.43634:202 538.48682:121 554.62195:40 555.44489:121 556.42395:8970 561.51831:121 573.34424:158 573.40466:2111 573.43158:1740 573.46851:850 573.50214:3385,29172,1914,4488,4785,23903,16371,17861,49136,1193507,5230,1053480,53060,22245,41776,16640,4191,19476,150425.6696,367409.2247
14860,16.387,573.44623,DG 31:2,[M+Na]+,ion correlated with 18378,0.294,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,99.5,99.4,6.7,75,100,3.05,SXY_FDUhhuang_430_pos,573.44623:29383 574.44958:11967 575.45294:2416,119.08028:35 123.11391:40 145.09642:35 151.16064:40 164.07274:40 183.16917:40 201.14215:40 351.3681:35 355.27594:81 356.29733:121 383.29913:40 383.3266:81 384.31598:161 384.34073:121 411.33542:40 412.34323:268 513.37915:35 532.42987:35 555.50812:40 573.35815:40 573.40851:81,43268,52570,16328,56146,45569,16037,50236,319218,2797512,15392,97554,143118,101709,55698,16112,104528,73169,235539.1216,664171.1272
14863,18.13,573.44946,DG 31:2,[M+Na]+,ion correlated with 19116; ion correlated with 19209; ion correlated with 19129; ion correlated with 14792; ion correlated with 20002; ion correlated with 19124; ion correlated with 13922; ion correlated with 13737,0.176,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.2,3.6,75,100,19.18,SXY_FDUhhuang_430_pos,573.44946:85502 574.45281:31208 575.45617:7423,147.1346:81 165.03181:35 374.21594:81 387.24753:81 426.02264:35 555.4054:81 556.42749:3610 573.3277:40 573.40497:81 573.47211:81 573.52924:81,837105,44674,89008,87283,1202754,55805,735600,1238434,18262850,481699,589364,860024,554233,1299326,392445,17300,243567,1587733.395,4318907.238
14867,18.38,573.45062,DG 31:2,[M+Na]+,ion correlated with 14799; ion correlated with 13731; ion correlated with 19987,0.588,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.2,28.5,75,100,37.96,SXY_FDUhhuang_461_pos,573.44672:51109 574.45007:12597 575.45343:15742,102.13885:81 121.09828:81 129.07858:40 135.1147:81 143.01144:81 159.10945:40 163.16412:81 335.29599:35 388.23206:81 529.44061:81 556.4184:4030 573.4024:948 573.42596:508 573.48303:200 573.52002:463 573.56366:121,1952036,1374489,80907,1324007,1941394,81145,994067,1637849,45236532,352813,1409309,1057300,578956,872187,662218,402389,345844,3547261.286,10759826.19
14868,19.178,573.45062,DG 31:2,[M+Na]+,ion correlated with 21002; ion correlated with 15689; ion correlated with 14637; ion correlated with 20076; ion correlated with 20000; ion correlated with 15752; ion correlated with 19210,0.235,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.1,19,75,100,10.56,SXY_FDUhhuang_461_pos,573.44672:13309 574.45007:6722 575.45343:4448,102.13454:81 115.02455:35 309.60907:35 529.45319:162 538.48096:121 556.42798:731 564.54144:40 573.40875:705 573.50281:846 573.53979:200,388207,70023,38172,261057,569018,15057,73198,90819,2167214,145504,65937,45642,40808,252137,142023,10399,33438,259332.6122,514208.9866
14869,8.85,573.45105,DG 31:2,[M+Na]+,,0.294,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,44,75,100,17.07,SXY_FDUhhuang_283_pos,573.45105:85357 574.4544:32840 575.45776:3956,128.06659:81 141.07005:81 142.07822:202 153.08025:35 157.10356:377 163.11005:81 185.09262:35 203.14148:162 209.09476:81 215.15459:40 219.11725:81 219.1754:161 222.0947:40 223.1077:81 231.18169:81 236.11351:121 251.13457:81 251.14568:121 270.26407:40 270.27332:795 271.28207:337 273.50473:35 277.15692:81 291.16467:40 292.1709:121 295.16626:35 307.20706:202 348.23364:40 363.25354:40 363.26959:1904 364.27026:40 555.48572:40 573.45959:3756,326601,73624,383417,304141,1013724,172484,742290,809392,357691,423756,298431,132115,213815,551766,395558,416532,188968,400253.0997,252674.9238
14871,9.35,573.45776,DG 31:2,[M+Na]+,found in higher mz's MsMs_17009,0.176,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,44.4,75,100,11.78,SXY_FDUhhuang_191_pos,573.44952:42368 574.45287:11638 575.45623:5929,148.02144:35 170.14659:81 180.14124:40 198.15033:426 219.17183:121 270.27222:81 270.28143:162 281.18036:35 437.18903:35 510.40738:121 510.43909:81 528.4389:121 573.44843:1159 573.51898:121,878424,210028,1129601,772437,2209704,227199,1907307,2746506,488065,729002,529482,373574,504975,1625427,1195152,780985,623947,995989.079,726903.8484
14872,11.493,573.46692,DG 31:2,[M+Na]+,,0.118,TRUE,5.45,573.44897,C34H62O5,DG,POLFDWLWUDHPGR-HDXUUTQWNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,92.3,99.8,13.6,75,100,2.1,SXY_FDUhhuang_270_pos,573.45721:17583 574.46056:7991 575.46392:26915,115.05199:35 119.08321:40 125.06087:40 135.11671:40 141.06747:35 145.09631:40 147.13115:40 159.13475:81 169.11153:35 181.12436:35 185.12987:40 201.08638:35 215.71373:35 225.1671:40 249.21883:35 255.22292:40 257.23041:81 262.14044:35 283.24966:81 297.22244:40 403.26971:35 433.37427:35 458.29752:81 521.44299:35 555.39612:40 555.47217:81 571.57629:40 573.41565:121,9201,15180,544,284246,1768,6853,156387,473668,40905,1571,114962,1273,611,43788,3715,154,0,67930.86867,129507.8815
14749,10.372,571.42358,DG 31:3,[M+Na]+,adduct linked to 15831_[M+NH4]+; found in higher mz's MsMs_22582,0.412,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,97.8,99.9,28,75,100,34.52,SXY_FDUhhuang_454_pos,571.43921:83240 572.44256:16353 573.44592:4226,123.13242:35 129.06932:40 148.1162:35 158.10986:35 163.12866:81 168.90526:40 195.11354:35 219.16583:40 219.17206:121 223.11061:35 252.15242:40 271.23676:35 295.17444:40 341.30344:35 364.26862:81 536.57019:35 553.43896:81 562.91772:35 571.40344:81 571.44702:161,1212726,984246,825486,2151999,2667293,524304,1932991,3350307,2162518,814628,673510,1189984,628782,1017331,2267788,528377,1913280,1461502.915,848280.4301
14750,10.334,571.42645,DG 31:3,[M+Na]+,adduct linked to 15822_[M+NH4]+; similar chromatogram in higher mz_15083; similar chromatogram in higher mz_44667,0.529,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,41.7,75,100,43.4,SXY_FDUhhuang_197_pos,571.43024:103774 572.43359:21053 573.43695:688,117.08493:40 131.06311:40 131.06633:40 133.08479:202 133.10098:81 137.05957:35 157.09608:40 163.10786:40 173.08476:35 177.11288:81 195.12047:35 215.17107:40 230.25708:35 244.16777:35 265.15759:40 289.31082:40 298.31094:35 314.28036:35 354.17377:35 413.76874:35 428.26114:81 444.44208:35 498.53995:35 554.91083:35 562.91687:81 571.43951:587,1308679,1047813,822462,2301304,2824346,636033,1893493,3508377,2340691,219025,762109,1249330,642832,1167670,2529073,581693,1934689,1515859.866,932673.5776
14751,11.169,571.42682,DG 31:3,[M+Na]+,similar chromatogram in higher mz_17739; similar chromatogram in higher mz_19315; similar chromatogram in higher mz_19410; similar chromatogram in higher mz_20259; similar chromatogram in higher mz_22234,0.353,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,53.2,75,100,158.3,SXY_FDUhhuang_221_pos,571.42914:127462 572.43249:20097 573.43585:1924,149.118:40 253.12204:81 309.18286:121 364.26575:121 553.52808:40 571.44043:531,1562264,573418,1176142,987817,1258527,851396,1463843,1588519,1436173,1261902,1103268,628693,857704,1552752,1322584,945024,812050,1140122.011,328014.3033
14752,16.325,571.42969,DG 31:3,[M+Na]+,similar chromatogram in higher mz_16752; similar chromatogram in higher mz_25987; similar chromatogram in higher mz_26096; similar chromatogram in higher mz_30667; similar chromatogram in higher mz_33033,0.294,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,99,99.4,9.4,75,100,6.6,SXY_FDUhhuang_433_pos,571.42969:66676 572.43304:429402 573.4364:256906,102.1267:81 107.08353:35 116.13847:35 125.13682:40 205.11838:35 259.15094:35 270.27719:40 283.26407:162 284.26132:121 286.25394:40 297.29053:40 299.31851:162 305.12274:35 340.30026:35 373.4064:40 476.46219:35 537.52728:35 554.40125:81 571.41193:121 571.50916:201 571.54602:121,67483,6933,14335,91582,70499,30231,30789,100890,579502,19479,25917,320590,82539,57347,31755,36557,24915,93608.45229,144473.3061
14753,12.179,571.43005,DG 31:3,[M+Na]+,ion correlated with 9615,0.353,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.7,60.8,75,100,23.98,SXY_FDUhhuang_428_pos,571.43005:444857 572.4334:148661 573.43676:58790,101.04379:40 102.12685:202 103.12875:81 115.05117:40 143.08337:81 153.10303:40 157.10382:202 158.10239:334 219.17026:121 220.17244:81 236.11699:40 252.15756:121 276.18582:35 303.97238:35 307.19962:81 358.12814:35 363.26483:121 364.2655:202 365.26755:430 399.2334:35 515.37415:162 553.42761:81 554.42804:202 571.43573:5258,32144,5325,25795,326330,36445,4904622,125512,44950,696248,21032,4040729,13574,22653,886829,1334583,19162,18581,738500.8501,1464001.434
14754,9.287,571.4314,DG 31:3,[M+Na]+,,0.294,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,91.6,99.9,2.6,75,100,57.44,SXY_FDUhhuang_461_pos,571.42529:154600 572.42864:196258 573.432:81330,101.06151:40 155.04832:40 208.15514:40 215.05432:81 219.17802:81 225.12015:81 233.07378:1370 233.09091:120 252.14543:40 270.28079:81 286.30017:81 288.28558:81 289.10315:202 289.12222:121 307.10931:81 333.23428:81 339.28455:121 364.24411:40 420.34497:35 527.38385:35 571.35583:9193 571.42963:157 571.44635:199,9727,2904089,44669,199759,92701,28373,88167,1122402,79407,3075232,42477,13894,39984,298919,1105407,138234,90247,551393.4878,980738.8035
14755,19.135,571.43262,DG 31:3,[M+Na]+,ion correlated with 22691; ion correlated with 15825,0.059,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99,22.7,75,100,1.95,SXY_FDUhhuang_433_pos,571.43262:64640 572.43597:1352482 573.43933:773688,102.12971:202 386.23175:35 402.24426:81 407.27078:35 537.5412:40 553.43481:81 554.39886:202 555.42328:974 571.44305:876 571.51349:570 571.61072:81,56719,16317,10200,38562,32931,36109,37687,18780,761503,12682,38096,40196,18507,16248,19547,5529,2041,68332.6401,179233.6769
14756,8.893,571.43634,DG 31:3,[M+Na]+,ion correlated with 16912,0.059,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,53.6,75,100,393.03,SXY_FDUhhuang_221_pos,571.43634:1429755 572.43969:343482 573.44305:31570,123.99901:35 149.1179:40 157.09502:202 158.10764:303 159.10406:162 202.12538:40 209.09306:40 219.16953:202 220.17168:162 235.10185:40 238.12068:121 251.13721:81 252.14973:162 292.17139:40 307.19281:40 308.21158:202 309.20737:121 355.55243:35 363.26486:162 364.26822:1019 365.2756:322 515.36926:202 571.44342:4491,11492716,9364429,11255512,9628145,20006384,9307764,15762846,13761379,12663753,15985554,20152532,6642197,7778372,14164593,20206434,13637440,9415192,13013249.5,4295728.25
14757,12.072,571.43744,DG 31:3,[M+Na]+,found in higher mz's MsMs_37966,0.059,TRUE,5.1,571.43329,C34H60O5,DG,XOFBKODQOVCRGU-IHDWIWDKNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,62.9,75,100,2.18,SXY_FDUhhuang_444_pos,571.43744:228504 572.44079:54056 573.44415:20214,101.03886:81 102.12756:1958 103.12803:121 107.08143:81 109.09846:121 119.07988:40 131.07533:40 135.11636:81 142.0719:81 142.11539:81 157.09689:202 158.10071:162 169.12192:40 175.14566:81 205.15421:40 219.17781:202 220.17166:81 223.10594:81 233.22134:35 243.21739:40 251.13933:162 252.15187:81 307.19012:81 307.20486:162 308.20148:81 355.30081:40 363.27515:202 364.26245:755 365.26181:161 484.38422:35 515.37158:40 515.3811:81 519.44324:81 553.43439:201 554.42816:161 560.39972:40 571.31494:81 571.4491:8707 571.54297:120,1586758,117156,1123672,1354465,1763850,1440118,1637520,1765686,408064,1377629,2236092,658121,868200,2431485,1694192,1095606,187587,1279188.28,664492.7306
14612,20.731,569.42261,DG 31:4,[M+Na]+,,0.118,TRUE,4.76,569.41766,C34H58O5,DG,LIOBXZPHXAZZHS-XWVIRPHINA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,98.7,49.7,75,100,20.84,SXY_FDUhhuang_461_pos,569.42261:340239 570.42596:139302 571.42932:19638,101.07259:35 102.12601:81 123.12114:81 151.48434:35 157.11606:121 201.15707:40 203.18161:40 219.16098:40 222.12198:81 251.14352:81 284.26428:81 285.32013:81 297.25229:35 307.2218:121 343.16309:35 363.25345:121 363.27216:533 524.46808:40 524.50024:81 551.49182:162 562.54657:81 569.42157:3846 569.44495:4880 569.47174:3535 569.54877:119,1257422,33049,2148095,612091,1918059,2743765,610622,1690760,321165,1480964,1229015,2009649,1907954,2357185,3574049,1948501,1693030,1619727.958,897534.4543
