Gene ID,Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
ENSMUSG00000113218,AC159647.1,12[-]26814371-26834873,0,0,0,0,0,0,0,0,0
ENSMUSG00000113219,CT030714.1,13[+]17337599-17338355,0,0,0,0,0,0,0,0,0
ENSMUSG00000113210,AC125535.1,12[-]99161277-99162808,0,0,0,2,0,0,0,4,2
ENSMUSG00000113211,CT010575.2,13[+]52096741-52124158,17,20,10,0,19,0,4,36,34
ENSMUSG00000113212,CT009718.5,13[+]74440166-74440532,7,2,0,3,0,1,4,0,7
ENSMUSG00000113213,CT572991.1,12[-]88588616-88590437,0,0,0,0,0,0,0,0,0
ENSMUSG00000113214,AC166056.1,13[-]4465680-4466566,0,0,0,0,0,0,0,0,0
ENSMUSG00000113215,AC133866.1,12[-]94059010-94059701,0,0,0,0,0,0,0,0,0
ENSMUSG00000113216,AL590503.1,13[-]28394453-28420066,4,3,0,0,0,0,0,5,0
ENSMUSG00000113217,AC141642.2,12[+]110062270-110062498,0,0,0,0,0,0,0,0,0
ENSMUSG00000101518,Gm20868,Y[-]71297957-71298649,0,0,0,0,0,0,0,0,0
ENSMUSG00000101519,Ska2l-ps,1[+]150549317-150549676,0,0,0,0,0,0,1,0,0
ENSMUSG00000101510,Gm21573,Y[-]61460025-61460715,0,0,0,0,0,0,0,0,0
ENSMUSG00000101511,Gm5681,17[-]21059244-21060776,0,3,0,0,0,0,2,0,0
ENSMUSG00000101512,Gm28135,Y[+]65831727-65834966,0,0,0,0,0,0,0,0,0
ENSMUSG00000101513,Gm28853,Y[-]26610456-26613352,0,0,0,0,0,0,0,0,0
ENSMUSG00000101514,Gm5524,1[+]27884046-27902396,0,0,0,0,0,0,0,7,0
ENSMUSG00000101515,Gm21899,Y[-]52328335-52329030,0,0,0,0,0,0,0,0,0
ENSMUSG00000101516,Gm29074,Y[+]33321745-33324976,0,0,0,0,0,0,0,0,1
ENSMUSG00000101517,4732465J04Rik,10[+]95746077-95797236,0,0,0,0,0,0,0,0,0
ENSMUSG00000094978,Scgb1b20,7[+]33373234-33374559,0,0,0,0,0,0,0,0,0
ENSMUSG00000085672,Gm16193,8[+]41053110-41064706,0,0,0,0,0,0,0,0,0
ENSMUSG00000067189,Gm7335,17[-]37713552-37713924,0,0,0,5,0,0,0,1,4
ENSMUSG00000065979,Cpped1,16[-]11803721-11909445,955,2649,676,2825,450,579,894,1070,1709
ENSMUSG00000001383,Zmat2,18[+]36793923-36799660,1268,1267,77,2305,294,114,2216,1696,3109
ENSMUSG00000001380,Hars,18[-]36766530-36783205,2435,3452,1157,1892,1417,845,1694,1079,1892
ENSMUSG00000094796,BC147527,13[+]120308146-120308649,65,36,13,18,21,2,40,183,148
ENSMUSG00000112169,CT009504.1,12[-]46683145-46686474,0,0,0,0,0,0,0,4,0
ENSMUSG00000112168,AC158619.1,10[-]72940238-72949792,0,0,0,0,0,0,0,0,0
ENSMUSG00000094794,Gm6019,X[-]4409511-4410246,0,0,0,0,0,0,0,0,0
ENSMUSG00000041096,Tspyl2,X[-]152336852-152342425,896,1502,311,644,720,554,1472,754,1443
ENSMUSG00000112160,Gm3055,10[+]82083353-82111216,3,1,0,31,0,0,5,27,97
ENSMUSG00000112163,AC158606.2,10[+]82430704-82432393,0,0,0,0,0,0,0,0,1
ENSMUSG00000112162,AC155929.2,10[-]9587602-9588114,0,0,0,0,0,0,0,0,0
ENSMUSG00000112165,AC124399.2,10[-]111101578-111102871,0,0,0,0,0,0,0,0,0
ENSMUSG00000112164,AC114575.1,12[+]56253243-56266384,0,0,0,0,0,0,0,0,0
ENSMUSG00000112167,AC163033.1,12[+]76492355-76492511,0,0,0,0,0,0,0,0,0
ENSMUSG00000098231,Gm6463,8[-]52278506-52279471,0,0,1,0,0,0,0,0,0
ENSMUSG00000098232,Gm3671,9[-]75693653-75694659,5,23,14,7,6,5,5,1,3
ENSMUSG00000094790,Gm6625,8[-]89146787-89147058,1,0,1,0,0,0,1,0,1
ENSMUSG00000081834,Gm13770,2[-]91523580-91523884,0,0,0,0,0,0,0,0,0
ENSMUSG00000081835,Gm11790,11[-]121165471-121165925,1,0,0,1,0,0,0,0,2
ENSMUSG00000108137,Gm44053,6[+]113725223-113726151,2,0,0,14,0,0,12,12,37
ENSMUSG00000093355,Snora26,5[+]74093530-74093650,1,1,1,1,1,1,1,1,1
ENSMUSG00000093352,Gm23291,12[-]99982775-99982852,0,0,0,0,0,0,0,0,0
ENSMUSG00000081831,Gm7405,X[-]113225541-113227320,0,0,0,0,0,0,0,0,0
ENSMUSG00000081832,Gm6897,X[+]74860878-74861015,0,0,0,0,0,0,0,0,0
ENSMUSG00000093351,Mir3072,12[+]109747878-109747960,1,0,1,0,0,5,1,0,0
ENSMUSG00000081838,Gm13038,4[+]143152572-143153030,4,0,2,0,0,0,0,0,2
ENSMUSG00000081839,Gm13454,2[-]39524873-39525355,0,0,0,0,0,0,0,0,0
ENSMUSG00000093358,Mir3063,11[-]95963292-95963383,0,0,0,1,0,0,0,0,0
ENSMUSG00000093359,Gm23292,7[+]36302515-36302615,0,0,0,0,0,0,0,0,0
ENSMUSG00000097446,Gm26629,19[+]50677406-50778662,0,0,0,0,0,0,0,0,0
ENSMUSG00000097447,Gm26630,14[+]6352044-6446960,0,0,0,1,0,0,1,1,1
ENSMUSG00000097444,Gm10489,X[-]10707176-10717242,0,10,0,0,3,11,0,2,6
ENSMUSG00000097445,Gm26631,9[-]57531287-57537629,17,8,0,67,0,7,24,31,58
ENSMUSG00000097442,Gm26632,8[+]33813203-33833094,0,0,2,2,0,0,0,0,3
ENSMUSG00000097443,Gm17529,12[+]58953089-58968011,6,18,10,5,0,0,9,0,14
ENSMUSG00000097440,Gm6277,18[-]11820676-11839337,54,64,58,81,25,92,142,40,71
ENSMUSG00000106981,Gm45495,5[+]53281810-53283509,131,218,41,83,68,28,109,30,117
ENSMUSG00000054986,Sec14l3,11[+]4064841-4077736,0,0,0,0,0,0,0,0,0
ENSMUSG00000076343,Gm25213,13[+]96357111-96357223,0,0,0,0,0,0,0,0,0
ENSMUSG00000106988,Tsg101-ps,15[+]62980648-62981817,133,201,33,10,53,18,86,4,16
ENSMUSG00000106989,Gm5989,6[-]23157985-23160061,0,0,0,0,0,0,0,0,1
ENSMUSG00000041323,Ak7,12[+]105705976-105782447,12,0,0,0,7,0,0,0,8
ENSMUSG00000041324,Inhba,13[+]16011851-16031621,15,2,7,25,2,9,8,6,31
ENSMUSG00000041328,Pcf11,7[-]92643543-92669934,978,1043,744,1230,753,324,1256,596,4432
ENSMUSG00000041329,Atp1b2,11[-]69599736-69605942,460,694,122,654,400,817,1304,296,699
ENSMUSG00000000385,Tmprss2,16[-]97564684-97611195,0,2,0,6,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,11[-]6615598-6626067,2618,8283,4427,1293,2285,1989,1375,1055,1092
ENSMUSG00000000386,Mx1,16[-]97447035-97462907,112,200,38,107,105,23,369,535,623
ENSMUSG00000064486,Gm23293,11[+]79595165-79595268,0,0,0,0,0,0,0,0,0
ENSMUSG00000099300,Mir6356,18[+]68739400-68739501,0,0,0,0,0,0,0,0,0
ENSMUSG00000075164,Olfr1106,2[-]87046811-87052273,0,0,0,0,0,0,0,0,0
ENSMUSG00000037031,Tspan15,10[-]62185396-62231251,1347,3739,2679,2251,2204,2455,1852,454,1230
ENSMUSG00000014782,Plekhg4,8[+]105373274-105382862,2,0,10,18,29,5,8,6,6
ENSMUSG00000066279,Chrna10,7[-]102111266-102116828,4,0,8,0,0,3,0,0,0
ENSMUSG00000066278,Vps37b,5[-]124004641-124032270,1727,3673,2744,252,3597,1613,794,298,1499
ENSMUSG00000022039,Adam2,14[-]66027329-66077733,8,3,0,0,0,2,0,4,0
ENSMUSG00000022037,Clu,14[+]65968483-65981548,26695,43068,17089,669,34332,5922,5293,4901,13030
ENSMUSG00000089571,Gm23008,9[+]20890757-20890836,5,1,1,1,1,2,4,1,6
ENSMUSG00000022035,Ccdc25,14[+]65837302-65866604,719,720,75,1079,199,64,903,629,1239
ENSMUSG00000022034,Esco2,14[-]65819038-65833994,18,0,0,61,17,0,18,34,79
ENSMUSG00000022033,Pbk,14[+]65805837-65817822,50,21,17,166,37,6,51,90,74
ENSMUSG00000022032,Scara5,14[+]65666403-65764826,950,2137,1234,664,929,1456,3496,555,924
ENSMUSG00000022031,Elp3,14[-]65530446-65593112,2199,3475,995,1444,1518,1160,2020,827,1757
ENSMUSG00000066272,Olfr559,7[-]102723207-102727491,2,2,0,0,0,0,4,0,6
ENSMUSG00000055639,Dach1,14[-]97786853-98169765,30,65,30,311,30,42,137,60,308
ENSMUSG00000055633,Zfp580,7[+]5051538-5053723,300,895,489,153,440,1134,378,283,166
ENSMUSG00000055632,Hmcn2,2[+]31314415-31460738,221,720,272,46,362,1734,347,61,94
ENSMUSG00000064489,Gm23296,12[-]52604485-52604591,0,0,0,0,0,0,0,2,0
ENSMUSG00000105987,AI506816,5[-]23698296-23712667,2920,4575,2321,2327,2960,1765,1921,605,2524
ENSMUSG00000105986,Gm43065,3[+]103864706-103866797,0,3,0,0,0,0,0,0,5
ENSMUSG00000105985,Gm42993,5[-]132015610-132022934,0,0,0,0,0,0,2,0,6
ENSMUSG00000105984,Gm44372,12[-]116152101-116152221,0,0,0,0,0,0,0,0,0
ENSMUSG00000105983,Gm42770,5[-]49124587-49128741,0,0,0,0,0,0,0,0,0
ENSMUSG00000105982,Mir6896,1[+]34117359-34117431,0,0,0,0,0,0,1,0,0
ENSMUSG00000105981,2810428J06Rik,3[-]135425237-135427932,2,0,0,6,0,0,4,2,17
ENSMUSG00000105980,Gm42597,5[-]7260856-7262399,0,0,0,0,0,0,0,0,0
ENSMUSG00000057982,Zfp809,9[+]22225714-22243354,175,120,88,365,79,48,466,279,689
ENSMUSG00000057981,Vmn1r12,6[+]57158920-57159854,0,0,0,0,0,0,0,0,0
ENSMUSG00000105989,Igkv13-73-1,6[+]69190083-69190282,0,0,0,0,0,0,0,0,0
ENSMUSG00000105988,Gm44479,15[+]101645144-101645259,0,0,0,0,0,0,0,0,0
ENSMUSG00000091849,Gm17188,14[-]3186101-3262317,0,0,0,2,0,0,0,1,1
ENSMUSG00000040055,Gjb6,14[-]57123303-57133611,0,3,0,0,0,0,0,0,0
ENSMUSG00000040054,Baz2a,10[+]128091577-128129303,4137,5989,1471,1779,3842,563,2024,1223,4632
ENSMUSG00000056586,Zar1l,5[-]150507055-150518164,0,0,0,0,0,0,0,0,0
ENSMUSG00000091844,Gm8251,1[-]44055952-44061936,4,0,0,4,0,0,0,5,55
ENSMUSG00000091845,Gm4604,6[-]108140120-108140509,147,382,322,99,398,319,90,217,162
ENSMUSG00000077333,Gm23015,5[-]57128645-57128772,0,0,0,0,0,0,0,0,0
ENSMUSG00000109268,9530078K11Rik,7[+]92902179-92902872,0,0,0,1,0,0,0,0,2
ENSMUSG00000109269,Gm18054,7[+]21182242-21183056,0,0,0,0,0,0,0,0,0
ENSMUSG00000084675,Gm26026,19[-]14718358-14718480,0,0,0,0,0,0,0,0,0
ENSMUSG00000109262,Gm44744,7[+]28054732-28055837,0,2,0,0,0,0,0,0,4
ENSMUSG00000109263,Gm18058,7[+]22048123-22048862,0,0,0,0,0,0,0,0,0
ENSMUSG00000109260,Gm44906,8[-]7468669-7580205,0,0,0,0,0,0,0,0,0
ENSMUSG00000109261,Gm44938,7[+]58926564-58927790,0,0,0,0,0,0,0,0,0
ENSMUSG00000109266,Gm6426,8[+]5527689-5528542,1,1,0,0,1,0,0,0,0
ENSMUSG00000109267,Gm45048,8[-]4016454-4016882,0,0,0,0,0,0,0,0,0
ENSMUSG00000109264,Gm44871,7[-]18435656-18436653,0,0,0,0,0,0,0,0,0
ENSMUSG00000109265,Gm45000,11[+]94281873-94283633,0,1,0,0,0,0,0,0,2
ENSMUSG00000052005,Gm9864,2[-]107595630-107600539,1,0,0,0,0,0,0,0,1
ENSMUSG00000075161,Olfr1109,2[-]87091195-87096008,0,0,0,0,0,0,0,0,0
ENSMUSG00000057674,Gm11938,11[-]99602646-99603308,0,0,0,0,0,0,0,0,0
ENSMUSG00000057672,Pkn1,8[-]83666536-83699179,11848,25706,17281,4996,11608,8603,5005,3588,5620
ENSMUSG00000075160,Olfr259,2[-]87104578-87114567,0,0,0,0,0,0,0,0,0
ENSMUSG00000020923,Ubtf,11[-]102304560-102319742,4255,9730,2632,2378,5696,2043,2749,2478,4339
ENSMUSG00000081697,Gm14714,X[+]76980706-76981144,0,0,0,0,0,0,0,0,0
ENSMUSG00000014603,Alx3,3[+]107595031-107605776,10,24,8,6,11,0,0,16,4
ENSMUSG00000017843,Ppp2r5c,12[+]110447120-110583062,3300,4393,1797,2117,1903,1276,2482,1703,4005
ENSMUSG00000061724,Gm2423,13[-]13232161-13232893,437,1137,987,211,798,932,581,106,259
ENSMUSG00000061728,Btnl7-ps,17[-]34532877-34547651,6,0,0,2,0,0,0,0,0
ENSMUSG00000039158,Akna,4[-]63367125-63403354,5696,8657,5402,239,10916,844,1092,1563,4772
ENSMUSG00000039159,Ube2h,6[-]30211289-30304539,4739,8199,4241,4745,4962,4272,5731,2280,5581
ENSMUSG00000111531,AC161054.2,10[+]93317403-93322725,10,19,0,32,8,13,18,36,34
ENSMUSG00000111530,AC161265.1,9[+]115405149-115405620,1,2,1,1,1,0,1,1,0
ENSMUSG00000111537,AC164614.1,9[+]62789904-62790411,0,3,0,0,4,0,0,0,0
ENSMUSG00000111535,AC153955.5,10[+]44598720-44689081,11,6,0,2,0,2,16,13,7
ENSMUSG00000111534,AC162931.2,9[+]17523979-17524245,0,0,0,0,0,0,0,0,0
ENSMUSG00000111539,AC127596.2,10[+]94108739-94111153,0,0,0,4,0,0,0,0,1
ENSMUSG00000039153,Runx2,17[-]44495987-44814797,157,89,66,51,127,36,113,90,379
ENSMUSG00000039154,Shd,17[+]55970467-55976617,10,32,27,0,16,31,0,6,6
ENSMUSG00000039155,Cdh26,2[+]178430531-178487366,13,7,4,10,12,0,2,9,17
ENSMUSG00000039156,Stim2,5[+]53998499-54121057,701,1420,565,406,792,655,903,177,700
ENSMUSG00000039157,Fam102a,2[+]32535332-32569756,3001,5295,2589,441,3966,1087,1010,1005,2911
ENSMUSG00000067608,Pcna-ps2,19[+]9283238-9284494,33,54,33,211,43,16,57,100,353
ENSMUSG00000067604,Nms,1[+]38939149-38950276,0,0,0,0,0,0,0,0,0
ENSMUSG00000100962,Gm29133,3[+]75748197-75787653,0,0,0,0,0,0,0,0,0
ENSMUSG00000065118,Gm23297,7[-]143531394-143531520,3,2,0,0,2,0,2,0,2
ENSMUSG00000021719,Rgs7bp,13[-]104947153-105054930,106,230,55,233,21,142,229,76,287
ENSMUSG00000021718,4933425L06Rik,13[+]105082122-105121782,0,0,0,0,0,0,0,0,0
ENSMUSG00000065115,Gm23298,12[+]80911477-80911583,0,0,0,0,0,0,0,0,0
ENSMUSG00000021716,Srek1ip1,13[+]104792484-104839274,310,431,184,1046,146,132,491,769,1154
ENSMUSG00000021715,Cwc27,13[-]104631140-104817142,453,382,94,561,176,66,624,412,872
ENSMUSG00000021714,Cenpk,13[+]104228955-104249615,0,3,4,71,0,2,2,45,72
ENSMUSG00000021713,Ppwd1,13[-]104205121-104228844,117,105,53,341,64,39,373,164,564
ENSMUSG00000021712,Trim23,13[+]104178797-104203372,81,66,31,575,24,14,175,191,832
ENSMUSG00000021711,Trappc13,13[-]104142149-104178469,617,938,383,1125,401,316,848,498,1298
ENSMUSG00000021710,Nln,13[-]104023439-104109614,1249,2268,824,1549,681,766,1302,415,1220
ENSMUSG00000101117,Gm28341,1[-]19320226-19320697,0,0,0,0,0,0,0,0,0
ENSMUSG00000068535,Olfr169,16[-]19564889-19571809,0,0,0,0,0,0,0,0,0
ENSMUSG00000068536,Doxl2,6[+]48974963-48978746,0,0,0,0,0,0,0,0,0
ENSMUSG00000100965,Gm28449,1[+]61474951-61476028,0,0,0,0,0,0,0,0,0
ENSMUSG00000076240,Mir702,5[+]136991433-136991541,1,1,2,1,1,1,1,1,2
ENSMUSG00000019905,Gprc6a,10[-]51614823-51631461,0,0,0,0,0,0,0,0,0
ENSMUSG00000106209,Gm42918,5[+]121385522-121387101,17,32,17,15,10,17,14,6,18
ENSMUSG00000106208,Gm4734,9[+]109970433-109971209,1,2,0,3,0,0,1,5,6
ENSMUSG00000106205,C230096K16Rik,5[+]64804014-64805735,55,207,109,50,84,100,38,66,80
ENSMUSG00000106204,Gm21009,5[-]19504455-19506123,0,0,0,0,0,0,0,0,0
ENSMUSG00000106207,Gm19184,3[+]140169284-140170211,0,0,0,0,0,0,0,0,0
ENSMUSG00000106206,Gm43094,5[-]113165314-113166234,0,0,2,4,0,0,0,0,0
ENSMUSG00000106201,Gm7815,3[-]38438962-38439793,0,0,0,0,0,0,0,0,0
ENSMUSG00000106200,Gm44341,13[+]51202698-51202835,330,904,603,100,560,2076,488,294,100
ENSMUSG00000106203,Gm44484,13[-]23751378-23751515,0,0,0,0,0,0,0,0,0
ENSMUSG00000106202,Gm43727,5[-]5304356-5307002,0,0,0,2,0,0,0,0,0
ENSMUSG00000053358,Gm9905,7[-]121033252-121035096,84,162,63,196,83,46,76,30,120
ENSMUSG00000112948,AC124579.1,13[+]9445900-9448419,0,0,0,4,0,0,0,0,0
ENSMUSG00000112943,AC126554.1,12[+]87480108-87482836,0,0,0,0,0,0,0,0,0
ENSMUSG00000112942,AC132121.1,13[+]43417534-43417865,0,0,0,0,0,0,0,0,0
ENSMUSG00000112941,AC164441.1,13[+]54301959-54312797,10,4,17,0,18,6,0,6,3
ENSMUSG00000112940,AC121872.1,12[+]109911785-109913518,0,0,0,0,0,0,0,0,0
ENSMUSG00000112947,CT572985.1,13[-]12047342-12052055,0,0,0,0,0,0,0,0,0
ENSMUSG00000112946,AC134596.1,12[+]119876653-119877169,1,1,0,0,1,0,1,1,1
ENSMUSG00000112945,AC124733.1,12[+]70347462-70351706,0,0,0,0,0,0,0,0,0
ENSMUSG00000112944,AL645643.1,13[-]32095279-32099175,0,0,0,0,0,0,0,0,7
ENSMUSG00000078671,Chd2,7[-]73426638-73541830,2082,2084,393,961,573,182,1484,794,2931
ENSMUSG00000049097,Ankrd34a,3[+]96596636-96599775,25,85,29,9,16,21,20,6,7
ENSMUSG00000049094,Olfr367-ps,2[+]37266951-37271387,0,0,0,0,0,0,0,0,0
ENSMUSG00000049092,Gpr137c,14[+]45219719-45281230,21,22,27,13,26,12,24,2,44
ENSMUSG00000049093,Il23r,6[-]67422932-67491855,0,0,0,4,0,0,0,0,62
ENSMUSG00000086709,Gm16263,13[-]118695292-118715396,20,5,0,17,0,0,35,19,27
ENSMUSG00000086708,Gm15577,3[-]156903863-156920780,0,0,0,0,0,0,0,0,0
ENSMUSG00000086707,Gm12088,11[+]29595787-29597700,0,0,0,0,0,0,0,0,0
ENSMUSG00000086706,Gm15848,1[-]130809977-130824084,69,38,0,2,6,0,28,106,94
ENSMUSG00000052911,Lamb2,9[+]108479736-108490530,4105,11873,8257,3266,8657,23566,10336,2039,3651
ENSMUSG00000086704,Gm14582,X[+]52296181-52333679,0,0,0,2,0,0,0,0,0
ENSMUSG00000052917,Senp7,16[+]56048338-56190012,329,144,158,215,96,66,354,94,1117
ENSMUSG00000086702,Gm12347,11[-]100105771-100112106,6,0,0,6,0,0,10,4,3
ENSMUSG00000052915,Msl1,11[+]98795516-98807859,2484,3341,1257,1744,1309,1166,2475,1230,3735
ENSMUSG00000052914,Cyp2j6,4[-]96516138-96553661,454,325,149,1077,95,130,1000,372,956
ENSMUSG00000109183,Gm44761,8[+]9800194-9811974,0,0,0,0,0,0,0,0,0
ENSMUSG00000109182,Gm18195,7[-]23535569-23536274,0,0,0,0,0,0,0,0,0
ENSMUSG00000109181,Gm5605,8[+]5117361-5118665,0,0,1,1,0,0,0,0,1
ENSMUSG00000075044,Slc22a29,19[-]8160165-8218900,0,0,0,0,0,0,0,0,0
ENSMUSG00000064642,Gm23299,8[-]121666628-121666706,0,0,0,0,0,0,0,0,0
ENSMUSG00000063611,Gm10134,2[+]28506095-28506475,12,24,1,17,3,10,16,3,7
ENSMUSG00000036391,Sec24a,11[-]51692264-51763634,556,411,166,1091,160,74,572,484,1585
ENSMUSG00000036390,Gadd45a,6[-]67035096-67037457,349,1064,574,358,364,707,336,307,480
ENSMUSG00000064646,Gm23300,19[+]38071929-38072053,0,0,0,0,0,0,0,0,0
ENSMUSG00000064647,Gm23301,18[+]75001455-75001519,0,0,0,6,0,0,5,4,16
ENSMUSG00000064644,Gm23302,14[+]118585039-118585138,0,0,0,0,0,0,0,0,0
ENSMUSG00000064648,Gm23303,4[-]148443334-148443485,0,0,0,3,0,0,2,0,0
ENSMUSG00000036398,Ppp1r11,17[-]36948356-36951741,1976,4018,1160,1213,2208,1394,1496,1983,1468
ENSMUSG00000109186,Gm34821,7[-]100171416-100227207,0,0,0,0,0,0,0,0,0
ENSMUSG00000032898,Fbxo21,5[+]117976730-118010201,5319,6844,3644,4126,2181,2808,6903,680,2424
ENSMUSG00000032899,Styk1,6[-]131299142-131353597,2,6,10,12,6,4,14,20,48
ENSMUSG00000039849,Pcif1,2[+]164879304-164894454,3918,9112,4732,1318,5749,4705,2566,1944,2453
ENSMUSG00000064145,Arih2,9[-]108602942-108649386,1796,3006,432,1444,1344,1128,1505,298,1879
ENSMUSG00000039844,Rapgef1,2[+]29619720-29740978,7613,5496,5434,3471,8404,5490,5307,4608,5665
ENSMUSG00000032897,Nfyc,4[-]120757438-120831572,2540,7051,3113,1464,2306,1963,1523,714,1542
ENSMUSG00000032890,Rims3,4[+]120854816-120896579,53,60,35,7,61,16,24,22,36
ENSMUSG00000032892,Rangrf,11[-]68972484-68975185,235,620,191,137,202,171,130,69,93
ENSMUSG00000039841,Zfp800,6[-]28239927-28398005,75,67,46,300,41,19,86,140,699
ENSMUSG00000107552,Gm44096,6[-]124492163-124494368,0,0,0,2,0,0,0,0,0
ENSMUSG00000107553,Gm44266,6[+]138600842-138601341,0,0,0,0,0,0,0,0,0
ENSMUSG00000107550,Gm44726,6[-]132383828-132384044,0,0,0,0,0,0,0,0,0
ENSMUSG00000107551,Gm4605,6[-]109443601-109444225,1,0,0,0,0,0,0,0,0
ENSMUSG00000107556,Gm44237,6[+]116389462-116390397,0,0,0,0,0,0,0,0,2
ENSMUSG00000107557,Gm21940,6[-]130838105-130840382,0,0,0,0,0,0,0,0,0
ENSMUSG00000107555,Olfr795-ps1,10[+]129578680-129579442,0,0,0,0,0,0,0,0,0
ENSMUSG00000107558,2010109P13Rik,6[-]100143423-100143814,0,0,0,0,0,0,0,0,0
ENSMUSG00000107559,Gm44193,6[+]112293231-112295753,0,0,0,0,0,0,0,0,0
ENSMUSG00000064156,Prol1,5[+]88317312-88328814,0,0,0,0,0,0,0,0,0
ENSMUSG00000020048,Hsp90b1,10[-]86690209-86705509,4341,3802,721,9359,1675,402,8310,5851,13361
ENSMUSG00000070369,Itgad,7[+]128154376-128223816,22,28,18,8,22,29,16,2,24
ENSMUSG00000103702,Gm37290,3[+]76822059-76822397,0,0,0,0,0,0,0,0,0
ENSMUSG00000020044,Timp3,10[+]86300372-86349506,3664,2748,826,12251,893,868,7674,3175,13266
ENSMUSG00000070366,Plpp4,7[+]129257031-129391412,0,0,0,0,0,0,0,0,0
ENSMUSG00000070360,Amy2a1,3[-]113529403-113532428,0,0,0,0,0,0,0,0,0
ENSMUSG00000020042,Btbd11,10[+]85386814-85660292,191,187,118,5,187,14,101,100,101
ENSMUSG00000048327,Ckap2l,2[-]129268210-129297212,162,84,14,159,89,6,88,129,113
ENSMUSG00000096185,Gm23305,7[-]59537128-59537206,0,0,0,0,0,0,0,0,0
ENSMUSG00000096186,Gm23306,16[-]36285433-36285537,0,0,0,0,0,0,0,0,0
ENSMUSG00000103700,Gm6555,3[+]66882350-66883138,0,0,0,0,0,0,0,0,0
ENSMUSG00000096180,Vmn2r49,7[-]9976245-9992139,0,0,0,0,0,0,0,0,0
ENSMUSG00000096181,Gm23307,7[+]39283976-39284080,0,0,0,0,0,0,0,0,0
ENSMUSG00000096182,Gm23308,13[+]119813233-119813339,0,0,0,0,0,0,0,0,0
ENSMUSG00000096183,Gm3727,14[-]7255889-7264714,0,0,0,0,0,0,0,0,0
ENSMUSG00000020354,Sgcd,11[-]46896253-47988969,326,281,73,661,53,97,630,137,442
ENSMUSG00000096188,Cmtm4,8[-]104348191-104395807,1690,2772,1855,1735,779,928,2026,288,1157
ENSMUSG00000096189,Mir344h-2,7[-]61742366-61742425,0,0,0,0,0,0,0,0,0
ENSMUSG00000048329,Mfsd6l,11[+]68556186-68558245,17,47,14,26,30,26,16,10,10
ENSMUSG00000101891,Gm29132,Y[-]59771637-59774001,0,0,0,0,0,0,0,0,0
ENSMUSG00000101890,Gm3116,1[+]102449353-102537656,0,0,0,0,0,0,0,0,0
ENSMUSG00000101893,Gm28839,Y[-]71083196-71086543,0,0,0,0,0,0,0,0,0
ENSMUSG00000101892,9130401M01Rik,15[-]58022259-58034325,1008,1920,1004,977,1049,1332,1029,663,846
ENSMUSG00000101895,Gm28981,1[-]64185991-64303043,0,0,0,0,0,0,0,0,0
ENSMUSG00000103705,4930518J20Rik,1[+]156303489-156304966,0,0,0,0,0,0,0,0,0
ENSMUSG00000101897,Gm29137,3[-]21268372-21269090,0,0,0,0,0,0,0,0,0
ENSMUSG00000006724,Cyp27b1,10[+]127048250-127053006,2,4,0,0,0,0,9,4,5
ENSMUSG00000101899,Gm29175,8[+]12282211-12282612,0,0,0,0,0,0,0,0,0
ENSMUSG00000101898,Gm28122,Y[-]76605450-76606064,0,0,0,0,0,0,0,0,0
ENSMUSG00000103704,Gm37291,12[+]57525726-57530254,0,0,0,0,0,0,0,0,0
ENSMUSG00000090925,1810064F22Rik,9[-]22196963-22213860,0,0,0,0,0,0,0,6,6
ENSMUSG00000090927,Gm17047,14[+]5930665-5931094,0,0,0,0,0,0,0,0,0
ENSMUSG00000054519,Zfp867,11[-]59461197-59472474,72,25,3,147,4,0,148,89,226
ENSMUSG00000054514,Atad3aos,4[+]155761178-155769264,37,69,35,24,35,42,31,41,34
ENSMUSG00000054517,Trim65,11[-]116121846-116131128,736,835,490,359,692,339,728,461,1226
ENSMUSG00000054510,Gm14461,2[+]78237547-78302230,0,0,0,0,0,0,0,1,7
ENSMUSG00000030942,Thumpd1,7[-]119715093-119720798,1315,698,316,1192,317,166,1591,779,2049
ENSMUSG00000075040,Zfp408,2[-]91643669-91649791,680,1324,620,266,846,487,462,176,506
ENSMUSG00000092152,Gm17026,14[-]42254659-42260048,0,0,0,0,0,0,0,0,0
ENSMUSG00000030029,Lrig1,6[-]94604529-94700158,1772,3871,1570,905,1677,1664,1887,193,1100
ENSMUSG00000104113,Gm37292,7[+]31208357-31209114,14,20,25,3,26,18,14,0,19
ENSMUSG00000104112,Gm37293,1[+]137811849-137812143,0,0,0,0,0,0,0,0,0
ENSMUSG00000104111,Gm37294,1[-]160041701-160044331,0,2,0,0,0,0,5,0,0
ENSMUSG00000104110,Gm37295,3[+]48078341-48078449,0,0,0,0,0,0,0,0,0
ENSMUSG00000104117,Gm20743,1[+]164863133-164936775,3,9,0,7,0,2,5,6,44
ENSMUSG00000104116,Gm37296,15[-]68338295-68341216,0,0,0,47,0,1,0,0,27
ENSMUSG00000096458,Moap1,12[-]102742230-102743661,72,161,37,37,38,13,18,0,91
ENSMUSG00000104114,Gm37297,1[+]89483438-89485821,0,0,0,0,0,0,4,0,8
ENSMUSG00000033765,Calm4,13[+]3837757-3838673,15,6,0,0,0,0,0,22,14
