Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
Neto1,18[+]86394952-86501897,0,2,0,0,0,2,0,6,0
9130017K11Rik,11[+]67921504-67947659,7,7,10,11,0,2,6,1,9
Gins4,8[-]23226616-23237659,1106,863,384,917,379,342,1106,773,1051
Gpat4,8[-]23171265-23208346,9525,20088,5317,7115,3937,4101,6995,3254,5366
Sugct,13[-]16857472-17695553,126,109,90,228,60,114,367,112,239
Gm4861,3[-]137550045-137552622,0,0,0,0,0,0,0,0,0
Ido2,8[-]24531892-24576333,7,6,4,0,16,0,10,15,17
Sfrp1,8[+]23411502-23449632,165,201,142,85,172,248,409,103,128
Gm10339,14[-]7374667-7412375,0,0,0,0,0,0,0,0,0
Dleu2,14[-]61602839-61682373,201,128,83,140,112,133,453,385,667
6430590A07Rik,3[-]40885897-40894193,20,16,6,27,3,3,27,6,33
Gm26527,13[-]93940990-93943015,10,8,0,0,0,2,12,0,0
Gm42656,5[-]120970043-120972347,0,0,0,0,0,0,0,0,0
Gm5432,12[+]15817003-15888155,0,0,0,0,2,0,0,2,0
4930578M01Rik,15[+]98985965-98989281,15,4,0,27,0,0,33,10,18
Gm26528,10[-]22281454-22281736,1,0,0,0,0,0,0,0,0
E230029C05Rik,7[+]89980723-90049069,47,36,17,14,18,8,23,27,63
1700125G22Rik,3[+]27154026-27157019,0,0,0,0,0,0,0,2,0
Tgif2,2[+]156840007-156855570,81,431,202,13,356,138,196,16,116
Ndufab1-ps,7[+]80507787-80508254,156,328,343,54,110,203,83,15,22
Mob4,1[+]55131231-55154899,145,257,145,1090,133,34,224,257,893
Rftn2,1[-]55170159-55226782,258,292,106,116,308,104,293,281,350
Boll,1[-]55248658-55363469,0,0,0,0,0,0,0,7,24
Gm10352,Y[+]2900989-2912206,0,0,0,0,0,0,1,1,0
Gm3719,14[-]51343127-51344597,0,0,0,0,0,0,0,0,0
Maip1,1[+]57406328-57417953,826,1426,960,1463,408,920,782,491,1016
Emp1,6[+]135362545-135383173,494,544,42,393,55,170,2282,45,692
Hoxaas2,6[+]52165674-52169564,12,14,7,4,7,4,11,0,14
Rtn1,12[-]72211752-72409054,416,623,346,63,503,132,208,108,352
Ccdc175,12[-]72101300-72185029,0,0,0,0,0,0,0,4,1
Gm8577,X[+]154774453-154775438,0,0,0,0,0,0,0,0,1
Serpina1f,12[-]103688044-103695529,0,0,0,0,0,0,0,0,2
Drosha,15[+]12824815-12935290,1657,1817,407,962,649,360,1727,1117,1389
Gm17169,8[-]81790558-81790908,0,0,0,0,0,0,0,0,0
Psmb5,14[-]54614120-54617995,6594,17751,14207,6732,6107,7828,3698,2169,2712
Gm17024,12[-]40209487-40211073,10,0,0,35,0,0,10,0,33
Gm22990,11[-]21564561-21564649,0,0,0,1,0,0,0,0,0
Pdzd2,15[-]12359711-12739924,1902,3091,1629,2503,1919,1809,4178,1012,3291
Slc22a17,14[-]54906727-54913132,566,1671,777,302,885,2052,1197,164,601
Mir5131,14[-]45657961-45658053,1,1,1,1,1,1,1,0,1
Ankk1,9[-]49415194-49427021,0,0,0,2,0,2,0,0,0
Gm22183,10[+]126036827-126036899,0,0,0,0,0,0,0,0,0
Gm22773,2[-]172864264-172864341,0,0,0,0,0,0,0,0,0
Gm9573,17[-]35617923-35626637,0,0,0,0,0,0,0,0,0
Gm22184,6[-]86574100-86574161,0,0,0,0,0,0,0,0,0
Gm42164,5[+]88210659-88211037,0,0,0,0,0,0,0,0,0
Gm43208,3[+]34416495-34418162,0,0,0,0,0,0,0,0,0
Gm43648,5[-]48624669-48627153,0,0,0,0,0,0,0,0,0
Gm43475,5[+]127108069-127108856,0,0,0,0,0,0,0,0,0
Gm43300,3[-]119727748-119729790,0,0,0,19,0,0,2,0,70
Gm43384,5[-]61717030-61717666,0,0,0,0,0,0,0,0,0
Gm42682,3[+]102714252-102715516,2,0,0,0,0,0,0,0,0
Gm43662,5[+]14778932-14781202,0,0,0,0,0,0,0,0,0
4921539E11Rik,4[-]103230445-103290863,0,0,0,0,0,0,0,0,0
Gm43663,5[+]14665649-14667153,0,0,0,0,0,0,0,0,2
Gm43251,5[-]99039063-99171421,0,0,0,0,0,0,0,0,0
St6galnac2,11[-]116677483-116681290,149,285,86,69,159,106,128,9,106
Olfr484,7[-]108120691-108127449,0,0,0,0,0,0,0,0,0
Gm45239,8[+]25399020-25427436,0,1,2,1,0,1,0,0,1
Gm6929,7[-]11845253-11845720,0,0,0,0,0,0,0,0,1
Gm45499,7[+]137167820-137168099,0,0,0,0,0,0,0,0,0
Gm18255,7[-]102377573-102378337,0,0,0,1,0,0,0,0,1
Gm45567,8[+]36188372-36202020,0,0,0,0,0,0,0,0,0
Gm6524,8[-]11693042-11694484,0,0,0,0,0,0,0,0,0
Gm36961,1[-]180976158-180976289,1,3,1,1,1,1,1,1,2
Gm36962,10[-]27613568-27615328,0,0,0,0,0,0,0,2,2
Gm36963,16[+]77539882-77542205,0,0,0,2,0,0,0,48,11
Gm36964,1[+]8815842-8816039,3,1,1,3,2,1,2,1,5
Ighv5-3,12[-]113589967-113590413,0,0,0,0,0,0,0,0,0
AY702102,2[-]169962015-169963187,0,0,0,0,0,0,0,0,0
Gm36965,1[-]5617837-5618230,0,0,0,0,0,0,0,0,0
Gm37186,16[-]4170776-4173636,0,0,0,10,0,0,6,4,7
Mir146,11[-]43374397-43374461,0,0,0,0,0,0,0,0,0
Cybb,X[-]9435252-9487771,1380,705,145,560,458,42,907,1116,2506
Hyal5,6[+]24857997-24891958,0,0,0,0,0,0,0,0,0
Hyal6,6[+]24733245-24745452,0,0,0,0,0,0,2,0,0
Ing3,6[+]21949571-21976038,529,804,178,541,430,157,542,294,1172
Wnt16,6[+]22288227-22298522,0,10,8,0,0,3,0,0,0
Fam3c,6[-]22306520-22356243,811,886,254,1166,349,189,645,624,1878
Auts2,5[-]131437333-132543344,108,161,102,282,136,83,187,130,328
Limk1,5[-]134656039-134688598,1272,2433,1505,333,746,1313,846,704,817
Eln,5[-]134702593-134747323,3841,8847,3005,1918,3227,6528,5562,1328,1728
Pot1a,6[-]25743737-25809246,314,220,26,320,77,41,361,298,772
Cldn16,16[+]26463135-26482765,0,0,0,0,0,0,0,0,0
Snrk,9[+]122117266-122169702,4822,1524,4056,952,1107,4145,4629,2138,5763
Notch3,17[-]32120820-32166880,2602,5724,3670,1659,3050,4878,3216,616,2223
Cd84,1[+]171839697-171890718,395,56,12,372,10,4,272,445,1781
Tmem181a,17[+]6270470-6308314,807,1071,370,592,623,406,952,214,1113
Stox2,8[-]47180048-47446362,154,483,112,465,90,146,488,167,522
A530017D24Rik,11[-]61864568-61868058,83,230,49,69,81,29,81,229,520
Tmprss11a,5[-]86410410-86468990,4,0,0,5,0,0,7,5,5
G530011O06Rik,X[-]169975043-169978917,44,22,3,24,16,6,38,24,33
Serpina1e,12[-]103946931-103958975,474,800,224,13,591,2,78,2025,166
Hormad1,3[+]95559677-95587671,0,0,0,0,0,0,0,0,0
Ecm1,3[-]95734147-95739569,3188,7118,5076,1033,5981,11000,8577,2213,1270
Pmel,10[+]128704195-128720238,117,163,68,25,77,37,42,47,96
Cdk2,10[-]128697939-128705031,507,613,278,641,358,108,669,368,671
Ormdl2,10[-]128817902-128821645,659,1081,311,417,387,222,770,135,441
Gdf11,10[-]128882295-128891718,370,332,195,108,317,32,181,272,631
Cd63,10[+]128900989-128912822,7016,15105,6125,6837,6618,6955,9726,4236,10162
Rdh5,10[-]128913593-128922888,301,804,373,198,413,784,358,224,347
Dgka,10[-]128720134-128744855,5021,7417,2387,564,5646,420,1233,4898,8410
Polr3gl,3[-]96577872-96594181,1089,2763,979,1195,1199,1279,1843,889,1541
Mmp19,10[+]128790910-128800824,2281,1673,1085,2492,1121,1291,1872,1125,1378
Dnajc14,10[+]128804062-128819446,2501,3144,1135,1196,1787,1130,1539,1688,1559
Gm44827,7[-]84226829-84232919,0,0,0,0,0,0,0,0,0
Gm45088,7[-]81918943-81920350,0,0,0,0,0,0,0,0,0
Gm19950,7[-]119607681-119643469,0,0,0,0,0,0,0,12,0
Gm18057,7[+]21907345-21908086,0,0,0,0,0,0,0,0,0
Gm44799,8[-]9658248-9659449,0,0,0,0,0,0,0,0,0
Gm44587,7[+]6900352-6902036,0,0,0,0,0,0,0,0,0
Gm44536,7[-]70178868-70337852,3,0,0,8,0,6,16,6,18
Gm44888,7[+]68332989-68335529,8,8,6,0,0,0,0,0,18
Gm20074,7[+]52411453-52411936,0,0,0,0,0,0,0,0,0
Gm18062,7[+]23130546-23131334,0,0,0,0,0,0,0,0,0
Gm5166,X[+]102794298-102796833,0,0,0,0,0,0,0,0,0
Actg1,11[-]120345690-120348542,44092,34948,12102,16023,20535,6973,27481,15249,27184
Ces2f,8[+]104947356-104960047,0,0,0,0,0,0,4,0,4
4833420G17Rik,13[+]119462759-119486117,885,766,247,667,353,162,837,919,2144
Gm12668,4[+]91626589-91630139,0,0,0,0,0,0,0,0,0
AC153955.4,10[-]44730769-44738900,0,0,0,0,0,0,0,0,0
AC115880.1,9[-]75374611-75375948,0,0,0,0,0,0,0,0,2
AC153912.4,10[-]29351879-29353893,26,4,0,210,0,2,40,39,150
Raver1,9[-]21067514-21091997,734,2321,1732,370,684,1259,343,286,415
AC134248.1,9[+]123138466-123139641,2,6,4,0,2,0,0,2,1
AC135669.2,10[+]45656955-45661912,0,0,0,2,0,0,0,0,4
AC160338.3,9[-]79346321-79346626,0,0,0,0,0,0,1,0,0
BX005136.3,2[-]86775318-86775912,0,0,0,0,0,0,0,0,0
Ccdc137,11[+]120458115-120464358,689,938,357,339,530,275,766,361,813
Gm43153,5[+]149641610-149647790,0,0,0,0,0,0,0,0,0
AC110091.4,9[+]120259628-120264358,0,0,0,0,0,0,0,0,0
AC158597.1,10[-]46856353-46856502,0,0,0,0,0,0,0,0,0
Rpp38,2[-]3328949-3332643,186,119,29,231,48,32,156,167,270
Cd177,7[-]24743983-24760311,89,287,67,6,545,4,2,4,0
Opa3,7[+]19228334-19256543,2516,5049,1915,1916,1572,1376,1547,1052,1424
Gm42895,6[-]33039124-33042119,0,0,0,5,0,0,0,12,0
Hbb-bh1,7[-]103841637-103843164,4,0,0,0,0,0,0,0,0
Zfr,15[+]12117831-12185683,1318,1236,483,2206,574,265,2070,1382,3635
Ugt2a1,5[-]87459490-87490871,0,0,0,0,0,0,0,0,0
Gm14703,X[-]7651106-7657258,16,14,0,28,2,3,8,17,31
Gm15407,5[+]148820767-148837798,2,0,0,0,0,0,0,0,0
Gm1667,4[+]139910488-139912133,0,0,0,0,6,6,4,0,0
Gm12811,4[+]109569214-109656791,0,0,0,3,0,0,0,0,6
Gm14798,X[+]94028854-94099304,0,0,0,0,0,0,0,0,0
Gm11314,13[+]22772656-22773471,0,0,0,0,0,0,0,0,0
Ighe,12[-]113269260-113273248,125,8,71,0,18,0,227,67,0
Gm36967,2[+]136679961-136680226,0,0,0,0,0,2,0,0,0
Gm30414,1[+]7497968-7518149,0,0,0,0,0,0,0,0,0
Gm36968,Y[+]25117327-25117641,0,0,0,0,0,0,0,0,0
Gm20236,14[-]69277601-69282140,7,11,1,1,2,0,2,0,5
Gm37200,9[-]104043605-104045776,0,2,0,2,0,0,1,0,2
E130018N17Rik,2[-]168152603-168154513,8,20,11,8,4,15,15,8,6
Gm36969,1[+]104906523-104909331,0,0,0,0,0,0,0,0,0
Gm36970,1[-]90837275-90839133,0,0,0,4,0,0,0,0,2
AC107681.2,12[+]109530892-109532903,0,0,0,0,0,0,0,0,0
Olfr748,14[+]50707373-50713797,0,0,0,0,0,0,0,0,0
Cox6a2,7[-]128205435-128206387,51,146,78,221,218,6573,114,43,34
Hist1h2aa,13[+]23934462-23934851,0,0,0,0,1,1,0,0,0
Rps8-ps1,10[-]56354451-56355074,16,15,7,15,23,9,9,7,16
2610044O15Rik8,8[-]129216354-129234406,130,60,8,309,6,5,177,196,603
Smim3,18[-]60474193-60501983,82,179,70,28,131,43,79,107,71
Gm10250,15[-]5120602-5121172,20,14,1,26,2,2,10,5,21
Kmt2c,5[-]25271798-25498783,1440,812,328,1234,389,79,1220,531,3838
Rspo3,10[-]29452416-29535867,10,6,4,13,8,0,10,25,38
Echdc1,10[+]29313166-29347469,2482,1303,387,7619,244,150,4258,2126,2789
Mgat4c,10[+]101681487-102391469,0,0,0,0,0,0,0,0,0
Ptprk,10[+]28074820-28597397,336,287,68,288,124,53,353,153,352
Daw1,1[+]83159752-83210574,0,0,0,0,0,0,0,0,2
Gm14300,2[-]179612622-179613567,0,0,0,0,0,0,0,0,0
AC124457.1,7[+]109521249-109521368,6,6,3,4,0,0,5,1,15
Gpr21,2[+]37516332-37520603,16,4,0,7,0,3,18,6,16
Cdh22,2[-]165111507-165234853,48,58,36,6,72,0,0,12,16
9030619P08Rik,15[-]75427606-75431829,100,157,18,132,0,8,33,48,15
Gm23555,18[+]56192999-56193133,0,0,0,0,0,0,0,0,0
Spag7,11[-]70663771-70669416,2212,4966,2534,1690,2223,2695,2148,1082,1464
Psmb6,11[+]70525367-70527858,8221,20674,9202,5299,8380,9793,6236,4231,4206
Rtn3,19[-]7425901-7483289,4958,5440,3347,8534,1541,2042,8787,3735,6465
Atl3,19[+]7494040-7538608,945,168,106,6748,89,46,3022,956,5519
Cxcl14,13[-]56288647-56296551,1993,3954,2199,1659,1353,5764,4778,1048,1481
Slc25a48,13[+]56438355-56474239,181,398,242,360,46,96,133,29,77
Zfand5,19[+]21272278-21282289,818,975,792,3835,584,537,1411,1335,4041
Gm14840,X[-]102657741-102658334,0,1,0,1,0,0,0,0,0
Ddx46,13[+]55635027-55681256,1461,1915,762,1578,1202,392,945,1993,4005
Caml,13[+]55623005-55632411,668,1411,623,815,750,786,939,355,1131
Tmem2,19[+]21778342-21858327,611,593,207,274,376,73,405,86,654
Spata5l1,2[+]122630625-122632930,224,365,385,117,450,297,131,87,282
Gm10780,3[+]70689092-70689380,0,0,0,0,0,0,0,0,0
Gm14169,2[-]156609206-156613422,0,0,0,0,0,0,0,0,0
Abt1,13[-]23421539-23423866,705,1724,947,590,854,767,653,422,585
Gm22187,2[+]151059955-151060083,0,0,0,0,0,0,0,0,0
4930563I02Rik,14[+]60087071-60096093,0,0,0,0,0,0,0,0,0
Olfr391-ps,11[-]73797861-73803052,0,0,0,0,0,0,0,0,0
Gm15326,13[+]111867936-111874730,61,82,15,8,34,15,37,28,48
Gm12065,11[-]24198737-24202624,3,0,0,0,0,0,0,0,4
Gm14642,2[+]173394566-173395720,0,0,0,0,0,0,0,0,0
Gm15733,5[+]9353759-9354000,0,0,0,0,0,0,0,0,0
9530068E07Rik,11[+]52396428-52408728,1374,5626,3326,4007,3581,4285,6038,1831,4989
Edc4,8[+]105880881-105894908,2385,4982,3177,789,3374,1912,1799,824,1636
Lrrk2,15[+]91673175-91816120,1164,791,96,512,264,51,570,350,1591
Macrod1,19[+]7056768-7198061,1788,4600,3672,1348,2478,4592,2243,1030,915
1110004E09Rik,16[-]90925809-90934927,559,1068,530,631,541,389,460,304,399
Synj1,16[-]90936092-91011308,489,740,199,747,530,110,229,317,1486
Ifnar2,16[+]91372783-91405589,3362,6182,3287,3503,2914,2376,4060,1779,3176
Paxbp1,16[-]91014037-91044543,786,591,256,1854,279,64,1038,1548,3144
Ighv4-1,12[-]113948282-113948796,151,49,0,8,11,0,4,0,25
Mis18a,16[-]90719312-90727404,345,531,454,192,723,208,207,330,672
Gm7258,7[-]128595979-128596278,0,0,0,1,0,1,0,0,0
Zfp598,17[+]24669752-24682015,3122,8028,4779,1539,4743,4832,2794,1042,2751
AL450317.1,9[-]102570582-102571227,0,0,0,0,0,0,0,0,0
Smc1a,X[+]152016428-152062694,3340,2800,211,1916,618,176,3017,1407,3581
Terb2,2[+]122186272-122206397,0,0,0,0,0,0,0,0,0
N4bp2l1,5[-]150571644-150597188,1244,3058,729,1677,975,616,1372,1094,2519
Chst1,2[+]92599707-92615250,5527,16074,3796,2819,6083,8306,7959,1035,4766
Syt13,2[+]92915098-92956058,224,198,178,2,231,0,30,61,165
Mapk8ip1,2[-]92383676-92401263,928,1924,1540,1023,3105,2616,1478,1044,869
Pex16,2[+]92374676-92381217,10184,27976,16172,7529,9059,13647,6427,3053,3079
Duoxa2,2[+]122298900-122302885,14,11,4,0,0,6,18,0,0
Duoxa1,2[-]122302191-122313730,40,136,61,17,27,143,93,6,12
Sord,2[+]122234749-122265340,1726,2514,809,2249,685,676,2335,1545,2118
AC153937.1,10[-]95703051-95703462,0,0,0,0,0,0,0,0,0
Cpxcr1,X[+]116448944-116478783,0,0,0,0,0,0,0,0,0
Gm12927,4[-]119252522-119256975,0,0,0,0,0,0,0,0,0
Gm24626,5[+]85829627-85829787,0,0,0,0,0,0,0,0,0
Snord116l14,7[-]59871864-59871957,0,0,0,0,0,0,0,0,0
Gm26618,X[-]6027056-6092269,0,0,0,0,0,0,0,0,0
Gm21035,7[-]50975547-50978154,0,0,0,0,0,0,0,0,0
Gm22189,12[+]19891976-19892061,0,0,0,0,0,0,0,0,0
Gm22190,6[+]131532922-131533031,0,0,0,0,0,1,0,0,0
Vmn1r123,7[+]21162185-21163108,0,0,0,0,0,0,0,0,0
Gm22191,14[-]40215132-40215241,0,0,0,0,0,1,0,0,0
Gm25066,5[+]87733528-87733650,0,0,0,0,0,0,0,0,0
Sh2b1,7[-]126466994-126475424,2934,4783,2642,784,3042,2020,2589,728,2206
Gm27297,12[-]79107958-79108062,0,0,0,0,0,0,0,0,0
Rfx3,19[-]27761721-28011166,80,100,53,121,74,8,64,57,518
S100pbp,4[-]129148005-129189727,464,393,78,441,132,31,524,430,1225
Gm25068,7[+]17618170-17618279,0,0,0,0,0,0,0,0,0
Gm27798,X[+]103595938-103596008,0,0,0,0,0,0,0,0,0
Mir6946,14[+]20690635-20690703,0,0,0,2,0,0,0,0,2
Anxa4,6[-]86736840-86793584,1362,2061,638,1593,732,602,1989,1063,2066
Nfu1,6[+]87009236-87028461,2423,4277,1787,2472,1209,1818,2161,1088,1648
Gfpt1,6[+]87042846-87092197,1353,1725,779,1626,1020,476,1561,660,2878
Tgfa,6[+]86195223-86275719,217,229,88,43,183,36,111,94,157
Pcyox1,6[-]86386006-86397154,5120,8705,4168,6078,2416,3191,5299,1451,3597
Bbs1,19[-]4886898-4906627,154,310,118,139,135,141,250,98,189
A530013C23Rik,2[+]167691177-167729172,72,188,46,69,80,138,187,31,108
Zdhhc24,19[+]4878668-4885397,294,463,392,278,354,328,347,113,249
Fam84a,12[-]14146830-14152054,16,33,15,24,23,26,20,20,34
Angpt1,15[-]42424727-42676977,184,81,9,554,4,0,397,264,1358
Olfr1461,19[+]13163000-13168130,0,0,0,0,0,0,0,0,0
Slc34a3,2[-]25228898-25234364,0,0,0,0,0,0,0,0,0
Sertm1,3[-]54897068-54915887,0,0,0,0,0,0,0,0,0
Gm5846,3[-]49381333-49382746,157,171,54,20,87,38,73,12,48
Gm36972,1[-]165775868-165777155,0,0,0,0,0,0,0,0,0
Gm36973,3[+]66099805-66100063,0,0,0,0,0,0,0,0,0
Gm36974,9[+]35835387-35836457,0,0,0,0,0,0,0,0,0
Gm36975,1[+]160264324-160443072,0,0,0,0,0,0,0,0,0
Gm36976,3[+]43547173-43548282,1,1,0,3,0,1,1,0,0
Wdr49,3[-]75274988-75482156,0,0,0,0,0,0,0,0,0
Mir681,12[-]69763835-69763944,0,0,0,0,0,0,0,0,0
Mir690,16[-]28599935-28600043,0,0,0,0,0,0,0,0,0
Mir592,6[-]27936655-27936750,0,0,0,0,0,0,0,0,0
Gm22193,8[-]110842383-110842458,0,0,0,0,0,0,0,1,1
Gm22194,10[+]11940973-11941067,0,0,0,0,0,0,0,0,1
Btbd19,4[-]117119219-117125725,197,291,164,80,163,166,205,76,347
Kncn,4[+]115884400-115889526,0,0,0,0,0,0,0,0,0
Kti12,4[+]108847785-108849413,743,1800,1304,670,1230,882,672,550,931
Gm22195,9[-]4271130-4271237,0,0,0,0,0,0,0,0,0
Faddos,7[+]144567355-144581512,0,9,0,2,7,0,0,0,5
Lrp8os2,4[-]107806033-107823022,0,0,0,0,0,0,2,0,0
Gm22196,5[+]7888685-7888793,0,0,0,0,0,0,0,0,0
Gm22197,8[+]125064015-125064072,0,0,0,0,0,0,0,0,0
Mir704,6[-]47803576-47803652,3,3,1,1,1,1,1,2,1
Gm22198,9[+]118287786-118288092,0,0,0,0,0,0,0,0,0
Gm22199,13[+]51014086-51014211,0,0,0,0,0,0,0,0,0
Gm22200,18[-]34941234-34941300,0,0,0,1,0,0,0,0,1
Mir539,12[+]109728129-109728202,0,0,0,0,0,0,0,0,0
Gm22201,17[+]32389011-32389069,0,0,0,0,0,0,0,0,0
Gm23111,17[+]33959663-33959767,0,1,0,0,0,0,0,0,1
n-R5s34,16[+]37854782-37854897,0,0,0,0,0,0,0,0,0
Gm22204,8[+]3615529-3615855,2,3,0,2,1,0,2,0,7
Gm22205,12[+]109688055-109688125,0,0,0,0,0,0,0,0,0
Gm22206,3[+]153708911-153709026,1,0,0,0,0,0,0,0,1
Gm23118,2[-]5259929-5260115,0,0,0,0,0,0,0,0,0
Gm23119,18[-]74778561-74778700,12,46,24,3,24,9,14,7,12
Nlrp4d,7[-]10358873-10388935,0,0,0,0,0,0,0,0,0
Gm22210,18[+]63533068-63533211,0,0,0,0,0,0,0,0,0
Srsf2,11[-]116849901-116853094,3881,6280,4507,5743,5877,3526,3975,3131,11026
Mks1,11[+]87853215-87863803,452,724,288,186,335,289,330,229,433
Pomt2,12[-]87106861-87147968,644,1080,430,439,519,493,703,149,551
Tspan8,10[+]115816832-115849893,12,2,0,71,0,0,10,4,58
Gm22212,6[-]63200041-63200146,0,0,0,0,0,0,0,0,0
Gm6181,7[+]52755465-52755728,168,351,200,136,217,217,122,116,103
Svip,7[-]51997171-52006018,328,572,221,959,132,316,631,328,614
Cyp2d10,15[-]82402846-82407194,0,0,0,0,3,0,0,444,0
4930522N08Rik,5[+]99682999-99685034,0,0,0,0,0,0,0,0,0
Cds1,5[+]101765130-101823858,799,1495,593,656,381,429,698,217,482
Bmp3,5[+]98854415-98884396,379,672,183,464,136,586,833,126,710
Prkg2,5[-]98929773-99037351,10,12,4,32,2,2,26,43,87
Fgf5,5[+]98254184-98277030,0,0,0,0,0,0,0,0,0
Gm21599,Y[-]32779240-32779767,0,0,0,0,0,0,0,0,0
Antxr2,5[-]97882783-98031043,794,584,117,1011,179,169,2146,609,1717
Gm14381,X[-]7513788-7514201,0,0,0,0,0,0,0,0,0
AC117635.1,12[+]39208892-39209654,0,0,0,0,0,0,0,0,0
Olfr810,10[-]129787289-129794917,0,0,0,0,0,0,0,0,0
Ces1b,8[-]93056728-93080017,0,0,0,0,0,0,0,83,0
Gm4919,X[-]151761943-151762658,0,0,0,0,0,0,0,0,0
Gm13196,2[+]4700238-4700616,0,0,0,2,0,0,4,0,2
Gm22213,13[-]44838165-44838283,0,0,0,0,0,0,0,0,0
Gm22214,5[-]136096260-136096431,0,1,0,0,1,0,0,0,0
Scgb2b24,7[-]33737190-33739312,0,0,0,0,0,0,0,0,0
Gm11422,11[+]82728000-82729102,0,0,0,0,0,2,0,0,0
Hnrnpa1,15[+]103240432-103244955,7907,10656,1513,4008,5038,686,4329,5403,9583
Gm13392,2[+]23908441-23908590,1,1,1,4,1,2,1,3,4
Gm11235,4[+]72542666-72542998,1,3,0,0,0,0,1,1,0
Gm15057,X[+]145990742-145991275,0,0,0,0,0,0,0,0,0
Gm11449,2[-]161482563-161483038,76,141,87,16,180,84,40,11,40
Scarna2,3[-]108554338-108554751,29,28,69,25,57,41,11,60,47
Gm23137,11[-]87444474-87444580,0,0,0,0,0,0,0,0,0
Mid1,X[+]169685199-170005736,178,372,211,146,351,319,141,101,190
Klhl35,7[+]99466004-99474022,42,72,59,16,56,65,25,19,13
G2e3,12[+]51348061-51376986,39,112,6,386,69,13,131,110,901
Cops4,5[+]100518309-100547803,1302,1810,1086,1904,1188,1333,2098,1270,1866
Sgcg,14[-]61221059-61258490,0,4,4,66,0,99,17,0,0
Wdr38,2[+]38997476-39006168,33,60,25,51,74,36,40,50,158
Golga7b,19[+]42247574-42270348,95,151,160,101,136,288,195,131,61
Gtpbp1,15[+]79690895-79721478,3938,7824,3145,834,5586,2335,2012,931,2421
Prh1,6[+]132569809-132572941,0,0,0,0,0,0,0,0,0
Gatad1,5[-]3632932-3657185,1905,3129,1564,3544,954,1219,2551,1229,2236
Mark3,12[+]111574523-111656221,2581,4979,2248,1720,1776,1783,1708,1390,2087
Mir3078,14[+]64591185-64591271,0,0,0,0,0,0,0,0,0
Slc23a2,2[-]132052496-132145108,1307,1720,432,825,831,260,1229,158,1468
Hsbp1l1,18[-]80229758-80247102,0,0,4,0,0,0,0,8,8
Gm25072,15[-]79094823-79095057,0,0,0,0,0,0,0,0,0
n-R5s113,8[-]123560888-123561006,0,0,0,0,0,0,0,0,0
Grin3b,10[+]79970715-79977190,20,71,38,6,35,19,22,4,12
Zfp995,17[-]21879570-21909926,3,9,16,59,12,16,25,69,205
Gm23180,16[+]54628428-54628552,0,0,0,0,0,0,0,0,0
Olfr699,7[-]106787963-106793198,0,0,0,0,0,0,0,0,0
Gm22221,4[-]127284731-127284833,0,0,0,0,0,0,0,0,0
Gm22223,8[-]101539584-101539708,0,0,0,0,0,0,0,0,0
Gm22224,16[-]8873079-8873171,0,0,0,0,0,0,0,0,0
Gm22225,X[-]129304796-129305073,0,0,0,0,0,0,0,0,0
Gm22226,7[-]96919994-96920102,0,0,0,0,0,0,0,0,0
Gm18482,6[-]19773955-19777545,0,0,0,0,0,0,0,0,0
Zbtb2,10[-]4367075-4388108,708,794,336,405,570,238,504,334,888
Gm13582,2[-]60964376-60975151,2,0,0,6,0,0,0,0,4
Fign,2[-]63971507-64098038,78,59,18,146,8,19,67,54,277
Bola3,6[+]83349147-83360136,5083,10526,4012,5263,1692,3010,3667,3326,1930
Rpl23a-ps8,7[+]31603294-31603756,0,0,0,0,0,0,0,0,0
Tsg101,7[-]46888949-46919969,2134,3920,683,2443,932,523,2474,966,2458
4932411K12Rik,13[+]101254294-101464160,0,0,0,0,0,0,0,2,2
Gm22229,9[+]70537814-70537921,0,0,0,0,0,0,0,0,0
Gm20776,Y[-]10930578-10931277,0,0,0,0,0,0,0,0,0
Snora62,9[+]120130415-120130563,2,1,2,0,2,0,4,5,3
Svs3b,2[-]164254363-164256640,0,0,0,0,0,0,0,0,1623
Zfp965,2[+]175469985-175482171,3,0,0,88,0,0,22,36,144
Gm4724,2[-]175422300-175435807,78,3,2,200,1,0,101,135,261
Pcnt,10[-]76351263-76442786,1435,2677,1414,414,2230,830,971,216,1606
Mcm3ap,10[+]76468927-76515857,1651,3085,1410,828,2019,983,1130,657,1572
Gm22231,16[+]33068110-33068182,0,0,0,0,0,0,0,0,0
Mxd1,6[-]86647042-86669161,1103,1975,882,411,1654,479,657,453,1692
Gm22232,1[+]134809275-134809368,0,0,0,0,0,0,0,0,0
Mir105,X[-]72591500-72591579,0,0,0,0,0,0,0,0,0
Snrnp27,6[-]86675151-86684522,714,1691,909,1576,711,825,1042,682,1608
Zfp968,2[+]175372436-175384201,0,0,0,56,1,1,15,27,89
Gm4631,2[-]175321955-175338197,31,6,0,144,1,1,76,89,268
Gm16075,11[+]75860969-75861494,0,0,0,0,0,0,0,0,0
Gm14170,2[-]156377925-156378968,1,0,0,1,0,0,0,0,0
Gm13541,2[+]52551969-52552251,0,0,0,0,0,0,0,2,0
Gm5353,8[-]76862256-76863048,0,1,0,1,0,0,2,0,1
Gm12503,4[+]44092632-44109311,11,6,0,4,9,2,6,0,10
