st_gene_id	gene_id	gene_symbol	exp_I_0_1	exp_I_0_2	exp_I_0_3	exp_I_2_1	exp_I_2_2	exp_I_2_3	exp_I_7_1	exp_I_7_2	exp_I_7_3
G10090_893	67287	Parp6	5.77	5.37	6.34	7.77	6.73	6.77	8.79	7.94	8.03
G10090_33649	68224	1700067P10Rik	0	0	0	0	0	0	0	0.08	0
G10090_7124	27057	Ncoa4	26.68	28.02	26.87	53.2	52.59	54.6	31.98	33.29	31.54
G10090_31587	19746	Rhd	0.28	0.17	0.25	0.04	0	0	0.12	0.08	0.09
G10090_8304	381270	4-Mar	0	0	0	0.02	0	0	0	0.01	0.03
G10090_23761	68134	Upf3b	7.12	7.72	8.3	9	7.82	10.46	4.91	4.73	5.05
G10090_21809	114304	Slc28a3	0	0.02	0.01	0.01	0.01	0	0	0	0
G10090_9629	93734	Mpv17l	1.62	1.63	1.49	2.91	3.15	2.62	1.72	1.9	2.11
G10090_30766	243653	Clec1a	0.11	0.09	0.15	0.16	0.09	0.05	0.99	1.35	1.03
G10090_10340	23849	Klf6	44.93	44.46	47.22	33.86	33.98	34.1	44.9	45.28	42.52
G10090_32086	17164	Mapkapk2	55.93	55.12	53.62	35.7	36.43	37.93	36.61	36.37	37.16
G10090_13369	110075	Bmp3	0.02	0.03	0.04	0	0.01	0	0.13	0.28	0.11
G10090_28968	80901	Cxcr6	0.19	0.3	0.45	0.03	0.1	0.1	0.16	0.13	0.18
G10090_2920	230793	Ahdc1	9.24	9.12	9.46	10.76	10.75	9.69	13.16	13.57	13.6
G10090_2059	13728	Mark2	12.24	12.38	12.88	14.97	14.32	12.59	12.96	13.3	11.93
G10090_20802	108160	Fam50a	19.96	20.2	20.74	20.16	19.27	21.12	25.71	23.37	23.25
G10090_6282	73458	Aldh3b3	0	0	0	0	0	0	0.06	0	0.11
G10090_10590	70385	Spdl1	10.89	12.34	12.26	11.96	11.27	11.75	0.9	0.97	1.19
G10090_28629	52715	Ccdc43	8.77	8.23	8.37	4.84	4.99	5.58	5.32	4.97	4.39
G10090_13147	19317	Qk	47.21	50.09	48.9	49.43	47	46.58	37.04	37.55	37.53
G10090_27107	17755	Map1b	44.12	47.19	48.52	34.47	32.24	27.82	31.93	32.39	35.78
G10090_20494	100163	Pafah2	8.54	9.53	9.12	7.79	7.05	7.39	7.74	7.69	7.88
G10090_6812	19664	Rbpj	39.04	39.65	40.97	20.89	20.75	19.5	34.57	33.96	32
G10090_31115	258377	Olfr654	0	0	0.06	0	0	0	0	0	0
G10090_8771	20322	Sord	4.73	5.18	4.18	2.48	3.11	2.6	10.52	11.7	9.48
G10090_219	237459	Cdk17	12.74	12.85	13.51	10.51	9.73	10.17	7.51	6.97	6.94
G10090_3061	102075	Plekhg4	0.84	0.88	0.82	5.68	5.96	6.8	2.43	1.59	1.88
G10090_31428	104582	Rprml	0	0.31	0	0.06	0.06	0.3	0	0.06	0.13
G10090_10260	381107	Tmem232	0	0	0	0	0.03	0	0	0.02	0.05
G10090_14613	67526	Atg12	17.77	15.85	16.89	29.44	24.13	27.71	17.16	17.98	16.04
G10090_4071	105859	Csdc2	1.6	1.83	1.15	0.37	0.6	0.36	2.64	2.69	3.01
G10090_732	101700	Trim68	2.65	2.41	2.78	6.22	6.35	5.83	4.92	5.27	4.98
G10090_22149	100044509	Tgfbr3l	0.41	0.31	0.24	0.74	1.14	1.43	0.88	1.07	0.93
G10090_4190	71836	Shcbp1l	0	0	0.03	0.04	0.02	0	0	0	0
G10090_30800	14630	Gclm	57.6	53.6	58.69	21.83	21.94	22.75	16.68	16.45	18.16
G10090_6875	12306	Anxa2	816.34	790.09	795.63	585.61	569.63	589.12	471.11	410.46	413.12
G10090_29013	81905	Cacng8	3.61	3.84	3.69	2.32	1.8	2.17	1.22	0.72	0.89
G10090_8473	14584	Gfpt2	37.58	36.71	35.34	198.12	182.44	198.28	45.83	41.67	46.69
G10090_30678	381353	Ajm1	0.04	0.03	0.01	0.04	0.06	0.04	0	0.06	0.04
G10090_13332	17965	Nbl1	95.59	85.65	91	52.51	51.3	58.46	133.93	138.32	124.08
G10090_17826	56349	Net1	6.59	6.85	6.76	21.74	19.41	19.98	10.42	12.3	12.23
G10090_15666	218275	BC051665	0	0	0	0	0	0	0.05	0	0
G10090_214	269120	Optc	0.79	0.68	0.66	0.32	0.22	0.23	1.2	1.24	1.2
G10090_7245	338369	Tmem220	0.23	0.52	0.46	1.29	1.7	1.5	1.55	1.69	1.66
G10090_2086	20787	Srebf1	24.7	22.81	23.97	30.06	30.27	30.52	30.13	33.67	31.48
G10090_25952	13007	Csrp1	275.36	269.33	262.84	146.86	141.22	133.64	131.25	113.52	123.48
G10090_9762	66587	Fastk	33.64	32.2	33.66	42.58	41.4	42.76	32.37	32.5	30.02
G10090_307	230861	Eif4g3	36.54	39.37	38.25	57.11	56.49	54.11	36.38	38.64	39.35
G10090_20695	74255	Smu1	21.73	18.77	21.53	18.9	18.12	18.84	14.17	13.9	13.19
G10090_22715	436240	Foxr2	0	0.02	0	0	0.02	0	0	0	0.02
G10090_28849	67427	Rps20	57.41	47.59	49.72	88.71	83.63	90.52	70.75	55.37	58.48
G10090_362	18729	Pira6	0	0	0	0	0	0	0	0	0.08
G10090_12466	11651	Akt1	160.34	154.13	157.19	102.4	107.95	106.72	120.76	114.8	113.09
G10090_32707	50527	Ero1l	18.81	19.77	19.78	17.39	17.41	18.44	29.46	26.98	26.16
G10090_5623	103737	Pex12	4.53	3.67	4.24	6.5	5.48	6.03	4.95	5.05	4.75
G10090_16308	73671	Sult6b1	0.03	0.21	0.24	0.06	0	0.03	0.09	0.09	0.16
G10090_14332	17698	Msn	363.19	360.36	369.04	90.94	88.15	83.44	152.97	147.19	151.98
G10090_8632	216227	Slc17a8	0	0.03	0.02	0.06	0.02	0	0.01	0.08	0.08
G10090_8438	224405	Cyyr1	0.06	0.01	0.06	0.04	0.03	0.03	0	0	0.01
G10090_18865	23923	Aadat	0.1	0.13	0.12	0	0	0.03	0.16	0.3	0.2
G10090_9083	71732	Vps11	12.52	12.44	11.83	11.91	14.45	13.29	16.86	16.96	17.13
G10090_174	27267	Cars	49.83	50.13	49.98	18.14	20.1	19.62	24.38	22.27	24.7
G10090_7038	30940	Usp25	17.72	20.63	19.42	26.56	26.93	26.22	23.55	22.72	23.46
G10090_19548	72002	Slc39a5	0	0.1	0	0	0	0	0	0	0
G10090_32348	19204	Ptafr	0.02	0	0	0	0	0	0.08	0.11	0.02
G10090_4656	330319	Wipf3	0	0	0	0.09	0.06	0.07	0.01	0.03	0.05
G10090_22204	18505	Pax3	0.51	0.56	0.42	0.47	0.44	0.37	0.48	0.42	0.62
G10090_21263	321003	Xpnpep3	3.18	3.15	3.33	4.45	4.5	4.3	3.21	2.89	3.07
G10090_21596	258436	Olfr458	0	0	0	0	0	0	0	0.07	0
G10090_29506	12350	Car3	0	0.04	0	26.53	17.83	17.36	336.22	558.43	413.67
G10090_8327	56426	Pdcd10	16.33	16.22	16.86	13.56	12.36	13.69	12.93	11.59	11.89
G10090_8358	106522	Pkdcc	16.81	15.18	14.04	22.5	27.22	27.36	19.9	19.49	18.35
G10090_1989	19934	Rpl22	65.32	61.83	62.65	85.39	81.35	84.09	82.16	73.71	70.64
G10090_1550	56299	Fkbpl	3.98	3.22	4.03	6.82	7.23	5.33	4.54	4.82	4.61
G10090_10392	68671	Pcyt2	13.64	12.26	12.2	27.1	26.4	25.4	20.63	21.76	21.07
G10090_16198	214547	She	0.01	0.05	0.06	0	0	0	0.01	0	0.01
G10090_2669	497652	Acd	18.38	15.97	17.67	18.3	18.89	18.14	18	18.81	18.69
G10090_7881	72805	Zfp839	2.17	2.53	2.52	3.55	3.1	3.43	2.78	2.95	2.95
G10090_47	18969	Pola2	15.15	16.79	16.75	14.36	14.85	13.78	5.45	5.75	6.04
G10090_5367	105171	Arrdc3	5.5	5.29	5.5	20.95	19.21	18.97	10.98	11.6	9.81
G10090_7463	27217	Mixl1	0.05	0.08	0	0	0.03	0	0	0	0
G10090_24979	338346	Gpr21	0	0	0.03	0.03	0.1	0.08	0.1	0	0
G10090_4637	67880	Dcxr	15.32	14.16	15.23	48.45	51.33	49.17	35.55	32.18	32.39
G10090_10817	77963	Hook1	0.07	0.1	0.11	0.08	0.05	0.15	0.04	0.1	0.13
G10090_2419	19094	Mapk11	2.86	3.3	2.64	1.68	1.39	1.39	1.82	1.79	2.53
G10090_16075	71584	Gdpd2	0.02	0.08	0.07	1.53	2.18	1.41	5.78	6.58	6.18
G10090_6884	14167	Fgf12	0.07	0.07	0.06	0.01	0.03	0.02	0.02	0.02	0
G10090_2501	66938	Sh3d21	1.61	1.16	1.31	0.43	0.27	0.63	1.03	1.27	1.75
G10090_6552	74149	Zfp946	3.73	3.89	3.96	3.38	3.4	4.43	3.07	3.51	3.8
G10090_8841	105246572	Gm41844	9.59	12.33	10.6	12.17	13.69	11.34	11	10.25	10.19
G10090_31798	381457	Crnn	0.04	0	0	0	0	0	0	0	0
G10090_12636	68734	Ppp4r3a	19.55	20.06	19.19	17.92	18.04	17.54	13.13	12.89	13.45
G10090_9475	71175	Nipbl	12.67	13.85	13.96	12.76	12.08	12.6	11.41	12.44	11.98
G10090_30029	209195	Clic6	0	0.08	0.03	0.06	0.08	0.05	0.05	0.03	0.03
G10090_19797	225995	D030056L22Rik	9.24	9.97	9.58	9.65	8.53	9.53	5.16	4.46	4.27
G10090_3847	15042	H2-T24	2.51	2.59	2.68	1.87	1.8	1.92	1.62	1.72	1.6
G10090_16712	69215	Sat2	2.8	3.05	2.88	6.77	6.86	7.8	3.88	3.82	3.27
G10090_16224	19935	Mrpl23	36.13	30.83	32.17	29.98	33.81	28.35	38.46	27.1	28.43
G10090_18579	12922	Crhr2	0.05	0	0	0	0	0	0	0	0
G10090_19510	74186	Ccdc3	0.15	0.28	0.11	0.62	0.67	0.4	3.18	3.17	2.95
G10090_18656	75124	Nxnl2	1.31	1.42	1.14	5.21	4.5	5.14	6.11	5.83	4.53
G10090_9493	407786	Taf9b	4.77	5.34	5.47	6.96	5.85	6.18	4.41	3.45	3.93
G10090_10506	239759	Liph	0.25	0.21	0.26	0.48	0.27	0.27	0.09	0.06	0.1
G10090_21371	18597	Pdha1	82.58	87.01	84.34	77.63	78.53	79.91	64.8	67.72	64.03
G10090_6868	237339	L3mbtl3	6.11	6.25	5.57	6.19	5.31	6.04	7.83	8.74	8.45
G10090_7388	17192	Mbd3	75.97	68.54	72.49	70.79	72.97	73.28	47.5	45.55	44.96
G10090_10682	217325	Llgl2	0.86	0.75	0.74	0.59	0.7	0.58	0.84	0.89	0.73
G10090_32252	75552	Paqr9	0.08	0	0	0.21	0.13	0.13	0.23	0.23	0.14
G10090_298	21419	Tfap2b	0	0	0	0	0.01	0	0	0	0
G10090_29955	14979	H2-Ke6	1.54	2.05	1.78	8.02	7.38	7.37	7.28	8.04	8.24
G10090_12908	319535	Zfp182	1.14	1.36	1.38	2.12	1.82	1.96	2.29	2.24	2.16
G10090_3214	105787	Prkaa1	20.85	20.87	20.29	24.22	21.92	23.26	16.65	17.68	16.69
G10090_33249	67891	Rpl4	766.15	741.58	738.85	964.33	983.75	971.61	780.17	717.83	694.86
G10090_15897	66714	4921524J17Rik	18.32	18.36	19.35	9.11	9.37	11.09	8.16	9.17	10.26
G10090_10624	29816	Hip1r	1.93	1.7	1.83	4.34	3.86	4.33	1.4	1.38	1.21
G10090_10983	433806	Chchd2-ps	0	0	0	0	0	0	0	0.1	0.13
G10090_9455	224805	Aars2	4.96	4.47	4.2	3.81	4.25	4.03	3.27	2.96	2.72
G10090_12861	170738	Kcnh7	0	0.01	0.01	0	0	0	0.04	0	0
G10090_8894	233887	Zfp553	7.16	7.25	7.84	6.88	6.77	7.02	6.73	6.95	6.7
G10090_20933	11783	Apaf1	10.61	12.01	11.31	8.99	8.26	8.3	9.27	9.25	9.44
G10090_1896	75409	Slitrk5	0.24	0.28	0.34	0.17	0.08	0.09	0.07	0.07	0.03
G10090_3002	668218	Bin2	0	0.04	0.07	0	0	0	0	0.03	0
G10090_3536	74374	Clec16a	19.02	19.7	19.33	23.52	24.32	24.34	23.37	23.48	23.26
G10090_16803	14745	Lpar1	38.52	40.36	39.72	36.47	38.97	37.31	51.57	49.57	51.77
G10090_12593	94213	Ddx50	28.37	26.57	26.94	34.2	35.77	36.32	31.04	32.45	30.06
G10090_5017	11497	Adam3	0.03	0.03	0	0	0	0	0	0	0
G10090_12476	67063	Tmem246	0.67	0.57	0.62	0.13	0.31	0.13	0.48	0.45	0.29
G10090_18850	434246	Trim72	0.05	0.12	0.05	0.07	0.18	0.1	0.05	0.05	0.07
G10090_14419	16402	Itga5	177.01	156.62	177.86	168.87	159.1	172.24	55.93	54.21	58.1
G10090_3578	76376	Slc24a2	0.04	0.04	0.04	0.05	0.04	0.05	0.02	0.05	0.01
G10090_4504	67381	Med4	18.12	15.93	16.14	17.31	15.4	17.2	8.01	8.05	7.87
G10090_4991	70802	Pwwp2a	4.27	5.06	4.56	5.36	4.86	5.25	3.26	3.49	4.08
G10090_12366	170759	Atp13a1	24.55	21.93	23.45	28.74	28.8	27.78	18.14	17.66	18.16
G10090_8547	271375	Cd200r2	0	0	0	0	0	0	0	0	0.04
G10090_26551	18126	Nos2	0	0	0	0.05	0.08	0.17	0	0	0.02
G10090_32992	21814	Tgfbr3	63.15	66.01	61.87	300.82	283.83	262.48	154.49	150.51	160.37
G10090_3684	64931	Izumo1r	0	0	0	0	0	0	0.06	0	0
G10090_9297	234695	Carmil2	0.19	0.22	0.3	0.18	0.12	0.24	0.12	0.16	0.27
G10090_5194	15452	Hprt	46.37	45.72	44.32	47.01	44.8	44.66	27.66	25.55	24
G10090_12833	223473	Nipal2	0.2	0.13	0.31	0.18	0.12	0.17	0.77	0.94	0.73
G10090_24894	105242453	LOC105242453	0.17	0.2	0.23	0.1	0.21	0.14	0.12	0.28	0.1
G10090_27209	319149	Hist1h3d	1.07	1.81	0.56	3.77	2.02	3.83	2.37	1.5	2.44
G10090_14875	100273	Osbpl9	35.02	35.28	33.23	17.19	17.68	17.58	32.69	32.29	32.52
G10090_33730	338320	Mia2	0.04	0	0	0.04	0.04	0.04	0	0	0
G10090_2331	56362	Sult1b1	0	0	0.1	0	0	0	0	0	0
G10090_15161	83945	Dnaja3	20.3	19.1	20.03	23.23	22.84	24.52	18.73	17.9	17.86
G10090_8240	11750	Anxa7	38.47	38.82	36.38	20.6	19.95	19.36	47.07	45.02	46.27
G10090_21168	228731	Nkx2-4	0	0	0	0.06	0	0	0	0	0.04
G10090_18564	103742	Mien1	23.06	24.05	23.35	25.51	26.58	26.26	29.19	28.04	26.62
G10090_18831	12049	Bcl2l10	0	0.05	0.1	0	0	0	0	0	0
G10090_8873	50797	Copb2	139.72	145.82	137.6	118.15	121.9	123.68	102.27	96.85	102.66
G10090_33828	67096	Mmachc	13.12	12.29	12.07	12.12	11.31	10.94	7.94	8.58	7.69
G10090_17769	100504234	Ccdc170	0.11	0.1	0.13	0.04	0.14	0.08	0.1	0.23	0.16
G10090_26085	71030	4933403O08Rik	0.04	0	0.01	0.01	0.04	0	0	0	0
G10090_348	225372	Apbb3	2.92	2.36	2.94	6.44	5.99	6.38	3.25	3.01	3.13
G10090_25245	100206	Adprhl2	6.34	4.78	5.28	6.89	7.62	6.97	6.88	6.04	6.4
G10090_22912	75141	Rasd2	0.04	0.02	0.02	0.04	0	0	0.02	0	0
G10090_3502	241627	Wdr76	2.41	2.97	2.89	2.17	1.98	2.38	0.7	0.72	0.89
G10090_24824	102634030	Gm31714	0.02	0	0	0	0	0	0	0	0
G10090_16840	110596	Arhgef28	7.68	8.16	8.45	4.68	5.17	4.35	5.71	5.63	5.42
G10090_14025	269643	Ppp2r2c	0.06	0.04	0.01	0.03	0.04	0.03	0.04	0.13	0.08
G10090_31148	13051	Cx3cr1	0.03	0.06	0.04	0.05	0.04	0.06	0	0	0
G10090_7783	210135	Zfp180	6.9	7.3	8.52	6.03	5.98	6.21	5.26	5.18	5.17
G10090_10905	27801	Zdhhc8	22.27	21.93	21.04	18.31	17.83	17.32	20.84	21.85	20.1
G10090_14304	28253	Slco1b2	0	0	0	0.02	0	0	0	0	0
G10090_23970	66808	9030624G23Rik	2.22	2.44	2.46	1.31	1.61	2.15	2.49	1.8	2.35
G10090_6402	74741	C2cd5	3.16	3.22	3.06	3.31	3.26	3.31	3.41	3.62	3.48
G10090_15389	244416	Ppp1r3b	1.77	1.72	1.35	1.71	2.3	2.36	5.63	6.18	5.64
G10090_25874	67529	Fgfr1op2	21.92	23.27	23.26	26.86	25.82	29.44	22.05	20.94	21.23
G10090_12732	19130	Prox1	0.23	0.26	0.26	0.22	0.19	0.28	0.17	0.18	0.08
G10090_7576	97287	Mtmr14	9.56	9.52	8.82	7.64	7.96	7.88	5.91	6.82	5.73
G10090_11894	57258	Xpo4	7.82	9.12	9.58	9.5	7.07	7.1	4.46	4.58	4.07
G10090_632	140859	Nek8	3.05	3.19	2.98	3.12	2.91	2.45	3.76	3.89	3.98
G10090_13520	14725	Lrp2	7.22	8	7.79	2.12	2.4	2.03	0.47	0.38	0.46
G10090_4689	209334	Gen1	4.87	5.3	5.18	5.03	4.68	5.19	0.71	0.62	0.77
G10090_11956	16680	Krt84	0.05	0.08	0.05	0	0.02	0	0.02	0.02	0.03
G10090_25492	230863	Sh2d5	0.22	0.17	0.21	0.39	0.21	0.23	0.3	0.09	0.23
G10090_26638	56030	Tmem131	31.02	32.17	33.32	33.94	32.22	29.64	28.77	31.2	31.98
G10090_28575	242418	Dcaf10	4.72	5.76	5.58	4.62	5.59	5.56	5.02	4.69	5.28
G10090_10045	24136	Zeb2	31.81	34.05	33.98	41.59	36.38	33.94	31.95	31.18	32.6
G10090_555	21853	Timeless	6.09	5.97	5.72	5.98	4.92	5.28	2.66	1.87	2.57
G10090_23089	278180	Vsig4	0	0	0.04	0	0	0.09	0	0	0.05
G10090_32366	11792	Apex1	44.67	41.34	41.67	51.8	48.63	51.29	34.09	28.23	27.41
G10090_19431	230101	Gba2	3.66	3.55	2.99	3.23	3.37	3.43	3.41	2.85	2.81
G10090_11617	22626	Slc23a3	0.28	0.28	0.22	0.32	0.29	0.3	0.55	0.59	0.7
G10090_13318	21744	Adad1	0	0	0	0	0	0.1	0	0.03	0
G10090_10385	102216272	Ak6	18.5	18.65	19.39	11.24	12.12	11.6	8.63	7.08	6.92
G10090_33714	99480	Dnttip2	25.08	26.87	28.34	29.13	29.37	31.83	19.31	17.45	16.27
G10090_7704	66812	Ppcdc	5.31	4.48	4.82	5.89	6.75	7.14	4.5	3.73	3.4
G10090_30550	93747	Echs1	22.26	23.65	21.84	38.73	39	41.25	29.67	31.92	31.3
G10090_25627	209032	Zc3hav1l	3.61	3.8	3.68	1.64	1.73	1.65	3.27	3.14	3.38
G10090_29624	70601	Ecd	16.49	15.53	15.23	15.21	15.51	17.56	11.55	11.2	10.83
G10090_156	72567	Bclaf1	42.46	43.95	42.95	46.06	42.25	43.16	25.99	25.92	24.13
G10090_4203	100043597	Srcap	25.57	26.25	25.94	31.23	28.84	24.8	21.16	22.68	22.89
G10090_4755	56489	Ikbke	3.72	3.4	3.23	6.58	6.9	5.73	8.41	8.12	7.86
G10090_1351	70427	Mier2	13.62	11.74	12.52	11.99	12.77	12.07	9.25	8.97	8.56
G10090_9769	12568	Cdk5	10.51	9.45	10.11	11.54	11.62	12.47	13.97	12.1	11.7
G10090_11018	93697	Ice2	2.92	3.41	3.17	5.71	4.65	5.23	3.54	3.55	3.38
G10090_16391	22169	Cmpk2	0.06	0.11	0.07	0.09	0.06	0.06	0.71	0.28	0.26
G10090_7110	15431	Hoxd11	0.01	0	0.04	0	0	0.01	0	0	0
G10090_7728	385354	Frmd7	0.04	0.04	0.01	0.04	0.01	0.02	0.03	0	0.01
G10090_6736	235312	C1qtnf5	10.11	9.02	8.4	2.4	1.96	3.07	30.24	31.81	29.6
G10090_7373	56460	Pkp3	0.06	0.04	0.04	0	0	0	0.02	0.02	0.02
G10090_7903	211978	Zfyve26	3.35	2.97	3.07	2.95	2.74	2.61	4.03	4	4.05
G10090_1774	215789	Phactr2	3.92	5.24	4.96	5.47	4.02	4.86	7.53	7.73	7.46
G10090_7798	18436	P2rx1	0.05	0.23	0.05	0.03	0	0	0	0	0
G10090_5131	230233	Elp1	11.31	10.52	11.81	10.87	12.09	11.49	5.73	5.73	6.05
G10090_12222	270109	Pcnx2	0	0	0	0	0	0	0.02	0.01	0
G10090_18063	14089	Fap	2.24	2.22	2.48	1.33	1.88	2.67	6.77	7.95	7.31
G10090_6135	76294	Asb5	0.09	0.05	0.05	0.05	0	0	0	0	0.05
G10090_19589	13209	Ddx6	50.25	55.96	53.36	54.73	52.51	49.12	51.24	48.74	46.23
G10090_22833	66885	Acadsb	21.5	23.45	20.66	25.63	25.06	26.57	40.86	39.47	40.13
G10090_921	218314	Zfp595	1.72	1.95	1.9	1.37	1.76	1.37	1.37	1.38	1.49
G10090_21761	74665	Drc3	0.06	0.09	0.11	0.1	0.06	0.08	0.19	0.32	0.23
G10090_10010	16643	Klrd1	0	0	0	0	0	0	0	0.11	0
G10090_3851	28028	Mrpl50	13.49	13.87	14.63	19.78	19.21	21.17	10.87	12.01	10.7
G10090_16961	19173	Psmb5	82.27	77.3	83.26	68.61	71.36	68.65	57.65	48.76	52.41
G10090_6471	234684	Lrrc29	0.25	0.07	0.38	0.41	0.38	1	0.15	0.15	0.16
G10090_25585	69146	Gsdmd	14.05	14.59	14.68	4.9	5.8	5.3	14.29	14.81	15.04
G10090_6966	230806	Crybg2	0	0	0.01	0	0	0	0	0	0.03
G10090_6592	14594	Ggta1	19.39	21.42	19.17	7.82	9.54	8.7	17.86	16.04	17.32
G10090_13676	26944	Tinag	0.04	0	0	0	0	0	0.08	0.53	0.4
G10090_7510	73914	Irak3	11.15	11.74	10.2	23.56	24.57	23.65	26.6	27.79	27.87
G10090_21491	280635	Emilin3	0	0	0	0.02	0.02	0.03	0	0	0
G10090_18578	18383	Tnfrsf11b	3.62	3.6	4.07	0.06	0	0	1.49	1.4	1.18
G10090_13675	18854	Pml	23.26	23.08	22.9	13.09	12.19	12.3	18.83	17.32	15.45
G10090_8262	75828	Hormad2	0	0.04	0.06	0.04	0	0.03	0	0	0.09
G10090_3795	15530	Hspg2	229.35	221.09	234.5	165.66	149.31	128.22	180.69	195.36	210.26
G10090_33670	70350	Basp1	188.8	197.42	186.99	99.62	100.37	105.76	113.3	118.62	122
G10090_20036	16939	Lor	0.24	0.11	0.21	0	0.07	0.03	0	0	0.04
G10090_914	12159	Bmp4	0.53	0.6	0.47	0.07	0.04	0.07	0.04	0.32	0.36
G10090_29131	237761	Sowaha	0.02	0	0.03	0	0.02	0	0	0	0
G10090_30868	16922	Phyh	7.75	6.75	6.77	15.89	16.05	15.41	21.23	20.82	22.83
G10090_18284	66437	Fis1	78.27	73.74	69.12	69.79	66.38	70.44	71.48	59.58	65.38
G10090_10759	12298	Cacnb4	0.45	0.69	0.52	0.28	0.23	0.21	0.58	0.87	0.66
G10090_10104	26896	Med14	20.83	23	22.85	11.82	9.96	9.85	10.05	10.91	11.09
G10090_31826	622473	Ripply1	0	0	0.1	9.98	13.48	11.6	0	0.51	0.11
G10090_10994	72569	Bbs5	4.09	4.52	5.22	4.36	3.29	4.89	4.36	3.51	3.55
G10090_7328	269295	Rtn4rl2	2.64	2.41	3.28	58.65	63.59	60.82	20.48	21.25	21.56
G10090_2599	56541	Habp4	9.73	8.56	9.02	12.66	11.8	11.44	11.12	11.88	10.63
G10090_14738	229900	Gbp7	0.47	0.5	0.55	0.36	0.34	0.44	3.28	2.74	2.53
G10090_13221	67528	Nudt7	3.99	4.59	4.71	5.56	4.91	6.72	8.6	9.39	9.07
G10090_7551	210105	Zfp719	3.37	3.51	4.14	4.22	4.38	3.99	3.59	3.28	3.34
G10090_4074	15185	Hdac6	7.09	6.67	6.7	6.74	7.82	6.85	6.15	5.83	6.25
G10090_11221	232966	Zfp114	0.29	0.39	0.3	0.28	0.43	0.22	0.16	0.29	0.22
G10090_9581	16825	Ldb1	65.66	63.01	60.7	49.81	51.13	48.32	61.4	64.76	64.7
G10090_13917	70497	Arhgap17	12.34	11.43	12.69	13.3	13.03	12.9	12.45	14.68	14.97
G10090_10656	66884	Appbp2	20.86	21.58	21.95	40.31	39.98	41.96	16.15	14.93	16.36
G10090_13402	217039	Ggnbp2	21.58	22.55	22.57	26.08	27.38	29.29	19.86	21.68	20.75
G10090_11905	11883	Arsa	12.67	13.9	13.35	18.02	18.66	16.14	40.14	41.74	39.4
G10090_6535	380785	Begain	1.4	1.41	1.57	3.55	3.84	3.48	4.22	4.17	3.82
G10090_19909	68031	Rnf146	8.76	9.78	9.7	13.46	12.75	11.94	13.82	13.47	12.97
G10090_20076	14536	Nr6a1	1.04	1.01	0.81	1.54	1.35	1.38	1.33	1.12	1.48
G10090_5251	258463	Olfr1393	0	0	0.08	0.07	0.02	0.06	0	0	0.05
G10090_17107	13491	Drd4	0.88	0.98	1.32	0.02	0.09	0.09	0.35	0.05	0.1
G10090_4249	279706	Nup62cl	0.46	0.49	0.55	0.77	0.87	0.67	0.18	0.16	0.31
G10090_29031	67856	Echdc3	1.42	1.15	1.62	0.52	0.78	0.44	2.58	2.4	2.74
G10090_7931	328274	Zfp459	0.05	0.11	0	0.04	0.04	0.04	0.05	0.02	0.02
G10090_12145	109648	Npy	0.9	0.41	0.79	2.28	1.98	2.97	0.77	0.52	1.01
G10090_20822	69824	Glod5	0	0	0	0	0	0.1	0	0	0
G10090_18899	60596	Gucy1a1	0.07	0.06	0.07	0.04	0.02	0.01	1.61	2.24	1.9
G10090_7129	80892	Zfhx4	9.7	10.75	9.85	12.79	10.81	10.61	13.99	15.44	15.03
G10090_7367	239027	Arhgap22	1.59	0.88	1.22	0.1	0.1	0	0.81	0.81	0.5
G10090_2825	666339	Muc3	0.01	0	0	0	0	0	0	0	0
G10090_9850	234915	Cep126	1.59	1.14	1.28	1.86	1.3	1.64	0.16	0.29	0.36
G10090_27815	110173	Manba	5.79	6.06	5.33	5.29	5.65	5.39	11.44	12.01	11.04
G10090_6221	218977	Dlgap5	22.32	24.21	23.54	12.32	13.5	14.24	1.59	1.59	1.78
G10090_23344	22759	Zfp97	2.02	3.5	2.12	3.15	3.34	3.49	2.94	3.04	2.56
G10090_30231	320982	Arl4c	13.72	14.26	14.64	4.26	3.71	4.25	5.09	5.01	4.49
G10090_22987	71446	Wrb	9.77	9.26	8.96	6.61	7.54	6.91	6.25	7.05	6.79
G10090_16656	231238	Sel1l3	0.04	0.08	0.03	0.08	0.05	0.05	0.23	0.32	0.27
G10090_6358	227613	Tubb4b	208.43	201.44	208.9	208.34	205.95	221.48	71.5	70.97	72.95
G10090_31067	69440	Dennd6b	0.39	0.43	0.43	0.52	0.45	0.4	0.48	0.35	0.29
G10090_18458	20210	Saa3	0	0	0	1.46	1.15	2.25	1.26	1.27	1.25
G10090_5341	30056	Timm9	9.27	11.1	10.64	13.4	11.19	11.91	6.18	6.02	5.41
G10090_22375	268379	Abca13	0	0.01	0	0	0.01	0	0	0	0
G10090_2539	244310	Dlgap2	0	0	0.01	0	0.01	0.01	0.04	0.03	0
G10090_10779	56791	Ube2l6	6.78	5.41	5.56	13.44	17.31	17.37	37.84	28.44	29.73
G10090_21203	105246961	AB010352	1.18	1.62	1.15	1.59	2.13	1.82	2.39	2.41	2.11
G10090_28985	66248	Alg5	36.17	30.69	33.52	24.72	24.35	27.85	21.28	20.87	18.74
G10090_16338	66493	Mrpl51	23.8	22.44	22.07	19.03	18.4	19.84	13.13	11.77	11.84
