reaction_id,R_lipid,P_lipid,firstLev,secondLev
R-HSA-2029468,PA,DAG,Role of phospholipids in phagocytosis (Homo sapiens),Fcgamma receptor (FCGR) dependent phagocytosis (Homo sapiens)
R-HSA-5696007,FA(23_:xx),FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-5696007,FA(23_:xx),AMP,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-1675866,PI,PI-(5)P,Synthesis of PIPs at the late endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675910,PI-(3)P,"PI-(3,5)P2",Synthesis of PIPs at the late endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675921,PI-(3)P,"PI-(3,5)P2",Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676005,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676020,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the late endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676168,PI-(3)P,"PI-(3,5)P2",Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676174,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-8954398,CL,PA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8954398,CL,PG,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-163402,DAG,2-MAG,Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163402,DAG,FA(13_22:xx),Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163432,ChE(xx:xx),ChE,Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163432,ChE(xx:xx),FA(13_22:xx),Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163551,TAG,DAG,Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163551,TAG,FA(13_22:xx),Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-75872,acetyl-CoA,FA(16:0),Fatty acyl-CoA biosynthesis (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-75872,malonyl-CoA,FA(16:0),Fatty acyl-CoA biosynthesis (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-426032,DAG,2-MAG,Arachidonate production from DAG (Homo sapiens),Effects of PIP2 hydrolysis (Homo sapiens)
R-HSA-426032,DAG,FA,Arachidonate production from DAG (Homo sapiens),Effects of PIP2 hydrolysis (Homo sapiens)
R-HSA-8849969,"PI-(4,5)P2",PI-(5)P,Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-8849969,"PI-(3,4)P2",PI-(3)P,Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-8849969,"PI-(3,4,5)P3","PI-(3,5)P2",Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1602368,PG,1-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602368,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602374,PS,1-acyl LPS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602374,PS,FA(13_22:xx),Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602377,PI,1-acyl LPI,Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602377,PI,FA(13_22:xx),Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602398,PE,1-acyl LPE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602398,PE,FA(13_22:xx),Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602417,PC,1-acyl LPC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602417,PC,FA(13_22:xx),Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602446,PA,1-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602446,PA,FA(13_22:xx),Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-5695957,FA(23_:xx),FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-5695957,CoA,FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-111879,"PI-(4,5)P2",DAG,PLC beta mediated events (Homo sapiens),G-protein mediated events (Homo sapiens)
R-HSA-111879,"PI-(4,5)P2","inositol-(1,4,5)P3",PLC beta mediated events (Homo sapiens),G-protein mediated events (Homo sapiens)
R-HSA-1855177,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-1855177,"PI-(4,5)P2","inositol-(1,4,5)P3",Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-398193,"PI-(4,5)P2",DAG,G beta:gamma signalling through PLC beta (Homo sapiens),G-protein beta:gamma signalling (Homo sapiens)
R-HSA-398193,"PI-(4,5)P2","inositol-(1,4,5)P3",G beta:gamma signalling through PLC beta (Homo sapiens),G-protein beta:gamma signalling (Homo sapiens)
R-HSA-399998,"PI-(4,5)P2",DAG,Acetylcholine regulates insulin secretion (Homo sapiens),Regulation of insulin secretion (Homo sapiens)
R-HSA-399998,"PI-(4,5)P2","inositol-(1,4,5)P3",Acetylcholine regulates insulin secretion (Homo sapiens),Regulation of insulin secretion (Homo sapiens)
R-HSA-1675773,"PI-(4,5)P2","PI-(3,4,5)P3",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676082,PI-(4)P,"PI-(4,5)P2",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676145,PI-(3)P,"PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-8868066,PI-(4)P,"PI-(4,5)P2",Clathrin-mediated endocytosis (Homo sapiens),Membrane Trafficking (Homo sapiens)
R-HSA-9021627,"PI-(4,5)P2","PI-(3,4,5)P3",Erythropoietin activates Phosphoinositide-3-kinase (PI3K) (Homo sapiens),Signaling by Erythropoietin (Homo sapiens)
R-HSA-162798,PE,DAG,Synthesis of glycosylphosphatidylinositol (GPI) (Homo sapiens),Post-translational modification: synthesis of GPI-anchored proteins (Homo sapiens)
R-HSA-8952251,lysoPC,GPCho(glycerophosphorylcholine),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8952251,lysoPC,FA(13_22:xx),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483212,PS,PE,Synthesis of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-9020274,FA(22:6),FA(22:6)-(14)OH,Biosynthesis of DHA-derived SPMs (Homo sapiens),Biosynthesis of specialized proresolving mediators (SPMs) (Homo sapiens)
R-HSA-9027624,FA(22:6),FA(22:6)-(7)OH,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives (Homo sapiens),Biosynthesis of specialized proresolving mediators (SPMs) (Homo sapiens)
R-HSA-9027628,FA(20:5),FA(20:5)-(5)OH,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives (Homo sapiens),Biosynthesis of specialized proresolving mediators (SPMs) (Homo sapiens)
R-HSA-9020275,FA(22:6),FA(22:6)-(17)OH,Biosynthesis of DHA-derived SPMs (Homo sapiens),Biosynthesis of specialized proresolving mediators (SPMs) (Homo sapiens)
R-HSA-1482539,1-acyl LPG,PG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482539,acyl-CoA,CoA,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482635,2-acyl LPG,PG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482635,acyl-CoA,CoA,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482745,PG,1-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482745,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482847,PG,2-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482847,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482897,PS,2-acyl LPS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482897,PS,FA(13_22:xx),Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482920,PG,2-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482920,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-429798,PC,DAG,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-8868072,PI-(4)P,"PI-(3,4)P2",Clathrin-mediated endocytosis (Homo sapiens),Membrane Trafficking (Homo sapiens)
R-HSA-1675949,"PI-(3,4,5)P3","PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676177,"PI-(4,5)P2",PI-(4)P,Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1482604,PA,1-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482604,PA,FA(13_22:xx),Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482656,PA,1-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482656,PA,FA(13_22:xx),Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482900,PG,1-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482900,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-77277,FA(16:1)-CoA,FA(16:0)-(3)OH-CoA,Beta oxidation of myristoyl-CoA to lauroyl-CoA (Homo sapiens),mitochondrial fatty acid beta-oxidation of saturated fatty acids (Homo sapiens)
R-HSA-77301,FA(14:1)-CoA,FA(14:0)-(3)OH-CoA,Beta oxidation of palmitoyl-CoA to myristoyl-CoA (Homo sapiens),mitochondrial fatty acid beta-oxidation of saturated fatty acids (Homo sapiens)
R-HSA-109699,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K Cascade (Homo sapiens),FLT3 Signaling (Homo sapiens)
R-HSA-1675939,PI,PI-(3)P,Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675961,PI,PI-(3)P,Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676024,PI,PI-(3)P,Synthesis of PIPs at the late endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-5672012,PI,PI-(3)P,Macroautophagy (Homo sapiens),NA
R-HSA-6798174,PI,PI-(3)P,RHO GTPases Activate NADPH Oxidases (Homo sapiens),RHO GTPase Effectors (Homo sapiens)
R-HSA-428205,Cer,FA(18:0),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428205,Cer,SPH(d18:1),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-8848580,DAG,TAG,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8848580,acyl-CoA,CoA,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1676162,"PI-(3,4)P2",PI-(3)P,Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676164,"PI-(3,4)P2",PI-(3)P,Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-202237,"PI-(3,4,5)P3","PI-(3,4)P2",Downstream TCR signaling (Homo sapiens),TCR signaling (Homo sapiens)
R-HSA-5694109,TAG,DAG,Assembly of active LPL and LIPC lipase complexes (Homo sapiens),Plasma lipoprotein remodeling (Homo sapiens)
R-HSA-5694109,TAG,FA,Assembly of active LPL and LIPC lipase complexes (Homo sapiens),Plasma lipoprotein remodeling (Homo sapiens)
R-HSA-1675824,"PI-(4,5)P2",PI-(4)P,Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675836,"PI-(3,5)P2 ",PI-(3)P,Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675988,PI-(4)P,PI,Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-8848484,PC,LPC,COPI-independent Golgi-to-ER retrograde traffic (Homo sapiens),Golgi-to-ER retrograde transport (Homo sapiens)
R-HSA-8848484,PC,FA,COPI-independent Golgi-to-ER retrograde traffic (Homo sapiens),Golgi-to-ER retrograde transport (Homo sapiens)
R-HSA-1482816,PC,1-acyl LPC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482816,PC,FA(13_22:xx),Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482887,PE,1-acyl LPE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482887,PE,FA(13_22:xx),Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8869425,PS,2-acyl LPS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8869425,PS,FA(13_22:xx),Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-163069,PE,DAG,Synthesis of glycosylphosphatidylinositol (GPI) (Homo sapiens),Post-translational modification: synthesis of GPI-anchored proteins (Homo sapiens)
R-HSA-1675928,PI-(4)P,"PI-(3,4)P2",Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676206,PI-(4)P,"PI-(3,4)P2",Synthesis of PIPs at the early endosome membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1226014,"PI-(4,5)P2","PI-(3,4,5)P3",Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants (Homo sapiens),Signaling by Ligand-Responsive EGFR Variants in Cancer (Homo sapiens)
R-HSA-1250370,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K events in ERBB4 signaling (Homo sapiens),Signaling by ERBB4 (Homo sapiens)
R-HSA-1250462,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K events in ERBB2 signaling (Homo sapiens),Signaling by ERBB2 (Homo sapiens)
R-HSA-1306957,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K events in ERBB2 signaling (Homo sapiens),Signaling by ERBB2 (Homo sapiens)
R-HSA-1306979,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K events in ERBB2 signaling (Homo sapiens),Signaling by ERBB2 (Homo sapiens)
R-HSA-1433514,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by SCF-KIT (Homo sapiens),Signaling by Receptor Tyrosine Kinases (Homo sapiens)
R-HSA-177939,"PI-(4,5)P2","PI-(3,4,5)P3",GAB1 signalosome (Homo sapiens),Signaling by EGFR (Homo sapiens)
R-HSA-1839091,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by cytosolic FGFR1 fusion mutants (Homo sapiens),FGFR1 mutant receptor activation (Homo sapiens)
R-HSA-1839107,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by cytosolic FGFR1 fusion mutants (Homo sapiens),FGFR1 mutant receptor activation (Homo sapiens)
R-HSA-186800,"PI-(4,5)P2","PI-(3,4,5)P3",Downstream signal transduction (Homo sapiens),Signaling by PDGF (Homo sapiens)
R-HSA-198266,"PI-(4,5)P2","PI-(3,4,5)P3",PI3K/AKT activation (Homo sapiens),Signaling by NTRK1 (TRKA) (Homo sapiens)
R-HSA-202365,"PI-(4,5)P2","PI-(3,4,5)P3",Downstream TCR signaling (Homo sapiens),TCR signaling (Homo sapiens)
R-HSA-2029271,"PI-(4,5)P2","PI-(3,4,5)P3",Role of phospholipids in phagocytosis (Homo sapiens),Fcgamma receptor (FCGR) dependent phagocytosis (Homo sapiens)
R-HSA-2394007,"PI-(4,5)P2","PI-(3,4,5)P3",Constitutive Signaling by Aberrant PI3K in Cancer (Homo sapiens),PI3K/AKT Signaling in Cancer (Homo sapiens)
R-HSA-2424480,"PI-(4,5)P2","PI-(3,4,5)P3",DAP12 signaling (Homo sapiens),DAP12 interactions (Homo sapiens)
R-HSA-2730870,"PI-(4,5)P2","PI-(3,4,5)P3",Role of LAT2/NTAL/LAB on calcium mobilization (Homo sapiens),Fc epsilon receptor (FCERI) signaling (Homo sapiens)
R-HSA-389158,"PI-(4,5)P2","PI-(3,4,5)P3",CD28 dependent PI3K/Akt signaling (Homo sapiens),CD28 co-stimulation (Homo sapiens)
R-HSA-5218819,"PI-(4,5)P2","PI-(3,4,5)P3",VEGFA-VEGFR2 Pathway (Homo sapiens),Signaling by VEGF (Homo sapiens)
R-HSA-5637801,"PI-(4,5)P2","PI-(3,4,5)P3",Constitutive Signaling by EGFRvIII (Homo sapiens),Signaling by EGFRvIII in Cancer (Homo sapiens)
R-HSA-5654690,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR1 (Homo sapiens),Downstream signaling of activated FGFR1 (Homo sapiens)
R-HSA-5654692,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR1 (Homo sapiens),Downstream signaling of activated FGFR1 (Homo sapiens)
R-HSA-5654697,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR2 (Homo sapiens),Downstream signaling of activated FGFR2 (Homo sapiens)
R-HSA-5654701,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR2 (Homo sapiens),Downstream signaling of activated FGFR2 (Homo sapiens)
R-HSA-5654705,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR3 (Homo sapiens),Downstream signaling of activated FGFR3 (Homo sapiens)
R-HSA-5654709,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR3 (Homo sapiens),Downstream signaling of activated FGFR3 (Homo sapiens)
R-HSA-5654714,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR4 (Homo sapiens),Downstream signaling of activated FGFR4 (Homo sapiens)
R-HSA-5654717,"PI-(4,5)P2","PI-(3,4,5)P3",PI-3K cascade:FGFR4 (Homo sapiens),Downstream signaling of activated FGFR4 (Homo sapiens)
R-HSA-5655235,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by FGFR4 in disease (Homo sapiens),Signaling by FGFR in disease (Homo sapiens)
R-HSA-5655289,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by FGFR3 point mutants in cancer (Homo sapiens),Signaling by FGFR3 in disease (Homo sapiens)
R-HSA-5655290,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by FGFR1 in disease (Homo sapiens),Signaling by FGFR in disease (Homo sapiens)
R-HSA-5655323,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by FGFR2 in disease (Homo sapiens),Signaling by FGFR in disease (Homo sapiens)
R-HSA-8852019,"PI-(4,5)P2","PI-(3,4,5)P3",MET activates PI3K/AKT signaling (Homo sapiens),Signaling by MET (Homo sapiens)
R-HSA-8853323,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by FGFR3 fusions in cancer (Homo sapiens),Signaling by FGFR3 in disease (Homo sapiens)
R-HSA-9028519,"PI-(4,5)P2","PI-(3,4,5)P3",Activated NTRK2 signals through PI3K (Homo sapiens),Signaling by NTRK2 (TRKB) (Homo sapiens)
R-HSA-9603445,"PI-(4,5)P2","PI-(3,4,5)P3",Activated NTRK3 signals through PI3K (Homo sapiens),Signaling by NTRK3 (TRKC) (Homo sapiens)
R-HSA-9664664,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by ERBB2 KD Mutants (Homo sapiens),Signaling by ERBB2 in Cancer (Homo sapiens)
R-HSA-9664940,"PI-(4,5)P2","PI-(3,4,5)P3",Signaling by ERBB2 KD Mutants (Homo sapiens),Signaling by ERBB2 in Cancer (Homo sapiens)
R-HSA-2076220,"PI-(4,5)P2","PI-(3,4,5)P3",Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (Homo sapiens),Signaling by the B Cell Receptor (BCR) (Homo sapiens)
R-HSA-1675813,PI,PI-(4)P,Synthesis of PIPs at the ER membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676185,PI,PI-(4)P,Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675883,PI,PI-(4)P,Synthesis of PIPs at the Golgi membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1675776,PI-(5)P,"PI-(4,5)P2",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-6811522,PI-(5)P,"PI-(4,5)P2",PI5P Regulates TP53 Acetylation (Homo sapiens),Regulation of TP53 Activity through Acetylation (Homo sapiens)
R-HSA-1482679,PA,1-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482679,PA,FA(13_22:xx),Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482776,PS,1-acyl LPS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482776,PS,FA(13_22:xx),Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482868,PI,1-acyl LPI,Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482868,PI,FA(13_22:xx),Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482907,PG,1-acyl LPG,Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482907,PG,FA(13_22:xx),Acyl chain remodelling of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-111883,PC,FA(20:4),Arachidonic acid metabolism (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-111883,PC,LPC,Arachidonic acid metabolism (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-167686,"PI-(4,5)P2","inositol-(1,4,5)P3",Role of phospholipids in phagocytosis (Homo sapiens),Fcgamma receptor (FCGR) dependent phagocytosis (Homo sapiens)
R-HSA-167687,"PI-(4,5)P2",DAG,PLC-gamma1 signalling (Homo sapiens),Signaling by NTRK1 (TRKA) (Homo sapiens)
R-HSA-202407,"PI-(4,5)P2","inositol-(1,4,5)P3",Generation of second messenger molecules (Homo sapiens),TCR signaling (Homo sapiens)
R-HSA-202407,"PI-(4,5)P2",DAG,Generation of second messenger molecules (Homo sapiens),TCR signaling (Homo sapiens)
R-HSA-2730847,"PI-(4,5)P2","inositol-(1,4,5)P3",FCERI mediated Ca+2 mobilization (Homo sapiens),Fc epsilon receptor (FCERI) signaling (Homo sapiens)
R-HSA-2730847,"PI-(4,5)P2",DAG,FCERI mediated Ca+2 mobilization (Homo sapiens),Fc epsilon receptor (FCERI) signaling (Homo sapiens)
R-HSA-622382,"PI-(4,5)P2","inositol-(1,4,5)P3",Role of second messengers in netrin-1 signaling (Homo sapiens),Netrin-1 signaling (Homo sapiens)
R-HSA-622382,"PI-(4,5)P2",DAG,Role of second messengers in netrin-1 signaling (Homo sapiens),Netrin-1 signaling (Homo sapiens)
R-HSA-9032478,"PI-(4,5)P2","inositol-(1,4,5)P3",Erythropoietin activates Phospholipase C gamma (PLCG) (Homo sapiens),Signaling by Erythropoietin (Homo sapiens)
R-HSA-9032478,"PI-(4,5)P2",DAG,Erythropoietin activates Phospholipase C gamma (PLCG) (Homo sapiens),Signaling by Erythropoietin (Homo sapiens)
R-HSA-1112666,"PI-(4,5)P2","inositol-(1,4,5)P3",Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (Homo sapiens),Signaling by the B Cell Receptor (BCR) (Homo sapiens)
R-HSA-1112666,"PI-(4,5)P2",DAG,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (Homo sapiens),Signaling by the B Cell Receptor (BCR) (Homo sapiens)
R-HSA-114689,"PI-(4,5)P2","inositol-(1,4,5)P3",GPVI-mediated activation cascade (Homo sapiens),"Platelet activation, signaling and aggregation (Homo sapiens)"
R-HSA-114689,"PI-(4,5)P2",DAG,GPVI-mediated activation cascade (Homo sapiens),"Platelet activation, signaling and aggregation (Homo sapiens)"
R-HSA-5607735,"PI-(4,5)P2","inositol-(1,4,5)P3",CLEC7A (Dectin-1) signaling (Homo sapiens),C-type lectin receptors (CLRs) (Homo sapiens)
R-HSA-5607735,"PI-(4,5)P2",DAG,CLEC7A (Dectin-1) signaling (Homo sapiens),C-type lectin receptors (CLRs) (Homo sapiens)
R-HSA-1483182,PC,PA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483182,PC,choline,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-192475,TAG,DAG,Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
R-HSA-192475,TAG,FA(13_22:xx),Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
