reaction_id,Pathway,lmp_id,gene_name,species_long,gene_symbol,R_lipid,P_lipid
R-HSA-266050,LTA4 is converted to LTC4 by LTC4S,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,leukotriene A4,leukotriene C4
R-HSA-266051,5S-HpETE is dehydrated to LTA4 by ALOX5,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid",leukotriene A4
R-HSA-9018858,ALOX5 oxidises 18(S)-HEPE to 5(S)-Hp-18(S)-HEPE,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,18(S)-hydroxyeicosapentaenoic acid,"(5S)-hydroperoxy-(18S)-hydroxy-(6E,8Z,11Z,14Z,16E)-icosapentaenoic acid"
R-HSA-9018859,"ALOX5 oxidises 5(S)-Hp-18(S)-HEPE to 5S,6S-epoxy-18(S)-HEPE",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(5S)-hydroperoxy-(18S)-hydroxy-(6E,8Z,11Z,14Z,16E)-icosapentaenoic acid",5(S)6-epoxy-18(S)-HEPE
R-HSA-9018863,ALOX5 oxidises 18(R)-HEPE to 5(S)-Hp-18(R)-HEPE,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,18(R)-hydroxyeicosapentaenoic acid,"5(S)-hydroperoxy-18(R)-hydroxy-(6E,8Z,11Z,14Z,16E)-icosapentaenoic acid"
R-HSA-9018894,"ALOX5 oxidises 5(S)-Hp-18(R)-HEPE to 5S,6S-epoxy-18(R)-HEPE",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"5(S)-hydroperoxy-18(R)-hydroxy-(6E,8Z,11Z,14Z,16E)-icosapentaenoic acid","5,6-epoxy,18R-hydroxy-eicosapentaenoic acid"
R-HSA-9020251,ALOX5 oxidises 17(R)-HDHA to 7(S)-Hp-17(R)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,17(R)-hydroxydocosahexaenoic acid,7(S)-hydroperoxy-17(R)-hydroxydocosahexaenoic acid
R-HSA-9020255,ALOX5 dehydrogenates 7(S)-Hp-17(S)-HDHA to 7S(8)-epoxy-17S-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,7(S)-hydroperoxy-17(S)-hydroxydocosahexaenoic acid,7S(8)-epoxy-17(S)-hydroxydocosahexaenoic acid
R-HSA-9020256,ALOX5 dehydrogenates 7(S)-Hp-17R-HDHA to 7S(8)-epoxy-17R-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,7(S)-hydroperoxy-17(R)-hydroxydocosahexaenoic acid,7S(8)-epoxy-17(R)-hydroxydocosahexaenoic acid
R-HSA-9020259,ALOX5 oxidises 17(R)-HDHA to 4(S)-Hp-17(R)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,17(R)-hydroxydocosahexaenoic acid,4(S)-hydroperoxy-17(R)-hydroxydocosahexaenoic acid
R-HSA-9020264,ALOX5 oxidises 17(S)-HDHA to 4(S)-Hp-17(S)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,17(S)-hydroxydocosahexaenoic acid,4(S)-hydroperoxy-17(S)-hydroxydocosahexaenoic acid
R-HSA-9020277,ALOX5 dehydrogenates 4(S)-Hp-17(S)-HDHA to 4S(5)-epoxy-17(S)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,4(S)-hydroperoxy-17(S)-hydroxydocosahexaenoic acid,4S(5)-epoxy-17(S)-hydroxydocosahexaenoic acid
R-HSA-9020278,ALOX5 dehydrogenates 4(S)-Hp-17(R)-HDHA to 4S(5)-epoxy-17(R)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,4(S)-hydroperoxy-17(R)-hydroxydocosahexaenoic acid,4S(5)-epoxy-17(R)-hydroxydocosahexaenoic acid
R-HSA-9020282,ALOX5 oxidises 17(S)-HDHA to 7(S)-Hp-17(S)-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,17(S)-hydroxydocosahexaenoic acid,7(S)-hydroperoxy-17(S)-hydroxydocosahexaenoic acid
R-HSA-9024997,"ALOX5 oxidises 14(S)-Hp-DHA to 7(S),14(S)-diHp-DHA",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(4Z,8E,10Z,12E,14S,16Z,19Z)-14-hydroperoxydocosahexaenoic acid","(7S,14S)-bis(hydroperoxy)-(4Z,8E,10Z,12E,16Z,19Z)-docosahexaenoic acid"
R-HSA-9025995,"ALOX5 dehydrogenates 7,17-diHp-DPAn-3 to 7,8-epoxy,17-HDPAn-3",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(8E,10Z,13Z,15E,19Z)-7,17-bis(hydroperoxy)docosapentaenoic acid","7,8-epoxy,17-hydroxy-(9E,11E,13Z,15E,19Z)-docosapentaenoic acid"
R-HSA-9025996,"ALOX5 oxidises 17(S)-Hp-DPAn-3 to 7,17-diHp-DPAn-3",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(7Z,10Z,13Z,15E,17S,19Z)-17-hydroperoxydocosapentaenoic acid","(8E,10Z,13Z,15E,19Z)-7,17-bis(hydroperoxy)docosapentaenoic acid"
R-HSA-9025999,"ALOX5 dehydrogenates 17(S)-Hp-DPAn-3 to 16(S),17(S)-epoxy-DPAn-3",LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(7Z,10Z,13Z,15E,17S,19Z)-17-hydroperoxydocosapentaenoic acid","(16S,17S)-epoxy-(7Z,10Z,12E,14E,19Z)-docosapentaenoic acid"
R-HSA-9026005,ALOX5 oxidises 14(S)-Hp-DPAn-3 to MaR3n-3 DPA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,"(7Z,10Z,12E,14S,16Z,19Z)-14-hydroperoxydocosapentaenoic acid","14(S),21-dihydroxy-(7Z,10Z,12E,16Z,19Z)-docosapentaenoic acid"
R-HSA-9026405,ALOX5 oxidises 13(R)-HDPAn-3 to RvT1-4,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,13(R)-hydroxy-docosapentaenoic acid,RvT1-4
R-HSA-9027624,ALOX5 oxidises DHA to 7-HDHA,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,FA(22:6)(DHA),"7-HDHA((4Z,8E,10Z,13Z,16Z,19Z)-7-hydroxydocosahexaenoic acid)"
R-HSA-9027628,ALOX5 oxidises EPA to 5-HEPE,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,FA(20:5)(EPA),5-HEPE(5-hydroxy-eicosapentaenoic acid)
R-HSA-9027633,ALOX5 oxidises DPAn-3 to 7-HDPAn-3,LMP000962,arachidonate 5-lipoxygenase,Homo sapiens,ALOX5,omega-3-docosapentaenoic acid,"(8E,10Z,13Z,16Z,19Z)-7-hydroxydocosapentaenoic acid"
R-HSA-2161768,EXA4 is converted to EXC4 by LTC4S,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,eoxin A4,eoxin C4
R-HSA-2161768,EXA4 is converted to EXC4 by LTC4S,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,Reduced glutathione,eoxin C4
R-HSA-2161907,ALOX5 oxidises 15R-HETE to 15epi-LXA4/B4,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,15(R)-HETE,15epi-LXA4/B4
R-HSA-2161917,ALOX5 oxidises 15S-HpETE to LXA4/B4,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,15(S)-HPETE,LXA4/B4
R-HSA-265296,Arachidonic acid is oxidised to 5S-HpETE by ALOX5,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,Arachidonate,"(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid"
R-HSA-266050,LTA4 is converted to LTC4 by LTC4S,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,Reduced glutathione,leukotriene C4
R-HSA-266050,LTA4 is converted to LTC4 by LTC4S,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,leukotriene A4,leukotriene C4
R-HSA-266051,5S-HpETE is dehydrated to LTA4 by ALOX5,LMP001844,arachidonate 5-lipoxygenase-activating protein,Homo sapiens,ALOX5AP,"(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid",leukotriene A4
R-HSA-2161950,Arachidonic acid is oxidised to 12R-HpETE by ALOX12B,LMP002433,"arachidonate 12-lipoxygenase, 12R type",Homo sapiens,ALOX12B,Arachidonate,12(R)-HPETE
R-HSA-2161964,Arachidonic acid is oxidised to 12S-HpETE by ALOX12/15,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,Arachidonate,12(S)-HPETE
R-HSA-2162002,Arachidonic acid is oxidised to 15S-HpETE by ALOX15/15B,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,Arachidonate,15(S)-HPETE
R-HSA-2162019,LTA4 is converted to EXA4 by ALOX15,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,leukotriene A4,eoxin A4
R-HSA-9018907,ALOX15 oxidises 18(R)-HEPE to 18(R)-RvE3,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,18(R)-hydroxyeicosapentaenoic acid,18(R)-RvE3
R-HSA-9020262,ALOX15 dehydrogenates 17(R)-Hp-DHA to 17R(16)-epoxy-DHA,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,"(4Z,7Z,10Z,13Z,15E,17R,19Z)-17-hydroperoxydocosahexaenoic acid","17R,(16)-epoxy-(4Z,7Z,10Z,13Z,19Z)-docosahexa-4,7,10,13,15,19-enoic acid"
R-HSA-9020275,ALOX15 oxidises DHA to 17(S)-Hp-DHA,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,FA(22:6)(DHA),17(S)-Hp-DHA
R-HSA-9020610,ALOX15 oxidises 18(S)-HEPE to 18(S)-RvE3,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,18(S)-hydroxyeicosapentaenoic acid,RvE3
R-HSA-9024872,ALOX15 oxidises 17(S)-Hp-DHA to PDX,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,(17S)-HPDoHE,"10(S),17(S)-dihydroxy-docosa-4Z,7Z,11E,13Z,15E,19Z-hexaenoic acid"
R-HSA-9024881,"ALOX15 dehydrogenates 17(S)-Hp-DHA to 16S,17S-epoxy-DHA",LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,(17S)-HPDoHE,"(16S,17S)-epoxy-(4Z,7Z,10Z,12E,14E,19Z)-docosahexaenoic acid"
R-HSA-9025152,"ALOX15 oxidises DPAn-6 to 17(S)-HDPAn-6 and 10(S),17(S)-diHDPAn-6",LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,omega-6-docosapentaenoic acid,"17(S)-HDPAn-6, 10(S),17(S)-diHDPAn-6"
R-HSA-9026003,ALOX15 oxidises DPAn-3 to 17(S)-Hp-DPAn-3,LMP000504,arachidonate 15-lipoxygenase,Homo sapiens,ALOX15,omega-3-docosapentaenoic acid,"(7Z,10Z,13Z,15E,17S,19Z)-17-hydroperoxydocosapentaenoic acid"
R-HSA-2162002,Arachidonic acid is oxidised to 15S-HpETE by ALOX15/15B,LMP001233,"arachidonate 15-lipoxygenase, type B",Homo sapiens,ALOX15B,Arachidonate,15(S)-HPETE
R-HSA-428123,3-ketosphinganine + NADPH + H+ => sphinganine + NADP+,LMP001250,3-ketodihydrosphingosine reductase,Homo sapiens,KDSR,3-ketosphinganine,sphinganine
R-HSA-1855185,"I(1,4,5,6)P4 is phosphorylated to I(1,3,4,5,6)P5 by IPMK in the nucleus",LMP000298,inositol polyphosphate multikinase,Homo sapiens,IPMK,"I(1,4,5,6)P4","I(1,3,4,5,6)P5"
R-HSA-1855206,"I(1,3,4,5)P4 is phosphorylated to I(1,3,4,5,6)P5 by IPMK in the nucleus",LMP000298,inositol polyphosphate multikinase,Homo sapiens,IPMK,"I(1,3,4,5)P4","I(1,3,4,5,6)P5"
R-HSA-1855228,"I(1,3,4,6)P4 is phosphorylated to I(1,3,4,5,6)P5 by IPMK in the nucleus",LMP000298,inositol polyphosphate multikinase,Homo sapiens,IPMK,"I(1,3,4,6)P4","I(1,3,4,5,6)P5"
R-HSA-1855233,"I(1,4,5)P3 is phosphorylated to I(1,3,4,5)P4 by IPMK in the nucleus",LMP000298,inositol polyphosphate multikinase,Homo sapiens,IPMK,"I(1,4,5)P3","I(1,3,4,5)P4"
R-HSA-1482861,MLCL is acylated to CL by LCLAT1 (ER),LMP006280,lysocardiolipin acyltransferase 1,Homo sapiens,LCLAT1,MLCL(2-monolysocardiolipin),CL(cardiolipin)
R-HSA-1482861,MLCL is acylated to CL by LCLAT1 (ER),LMP006280,lysocardiolipin acyltransferase 1,Homo sapiens,LCLAT1,acyl-CoA,CoA
R-HSA-1482867,DLCL is acylated to MLCL by LCLAT1 (ER),LMP006280,lysocardiolipin acyltransferase 1,Homo sapiens,LCLAT1,"DLCL(2,2'-dilysocardiolipin)",MLCL(2-monolysocardiolipin)
R-HSA-1482867,DLCL is acylated to MLCL by LCLAT1 (ER),LMP006280,lysocardiolipin acyltransferase 1,Homo sapiens,LCLAT1,acyl-CoA,CoA
R-HSA-75885,1-acyl LPA is acylated to PA by AGPAT (LPAAT),LMP006280,lysocardiolipin acyltransferase 1,Homo sapiens,LCLAT1,1-acyl LPA,PA
R-HSA-428185,sphinganine + stearyl-CoA => dihydroceramide + CoASH,LMP000210,ceramide synthase 6,Homo sapiens,CERS6,dihydrosphingosine,dihydroceramide
R-HSA-428185,sphinganine + stearyl-CoA => dihydroceramide + CoASH,LMP000210,ceramide synthase 6,Homo sapiens,CERS6,stearyl-CoA,dihydroceramide
R-HSA-1482533,2-acyl LPC is acylated to PC by LPCAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,2-acyl LPC,PC
R-HSA-1482533,2-acyl LPC is acylated to PC by LPCAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482539,1-acyl LPG is acylated to PG by LPGAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,1-acyl LPG,PG
R-HSA-1482539,1-acyl LPG is acylated to PG by LPGAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482547,1-acyl LPC is acylated to PC by LPCAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,1-acyl LPC,PC
R-HSA-1482547,1-acyl LPC is acylated to PC by LPCAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482635,2-acyl LPG is acylated to PG by LPGAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,2-acyl LPG,PG
R-HSA-1482635,2-acyl LPG is acylated to PG by LPGAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482636,1-acyl LPS is acylated to PS by LPSAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,1-acyl LPS,PS
R-HSA-1482636,1-acyl LPS is acylated to PS by LPSAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482646,2-acyl LPE is acylated to PE by LPEAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,2-acyl LPE,PE
R-HSA-1482646,2-acyl LPE is acylated to PE by LPEAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482667,1-acyl LPE is acylated to PE by LPEAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,1-acyl LPE,PE
R-HSA-1482667,1-acyl LPE is acylated to PE by LPEAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-1482691,2-acyl LPS is acylated to PS by LPSAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,2-acyl LPS,PS
R-HSA-1482691,2-acyl LPS is acylated to PS by LPSAT,LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,acyl-CoA,CoA
R-HSA-75885,1-acyl LPA is acylated to PA by AGPAT (LPAAT),LMP005977,lysophosphatidylcholine acyltransferase 4,Homo sapiens,LPCAT4,1-acyl LPA,PA
R-HSA-1482612,2-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,2-acyl LPC,glycerophosphocholine (GPCho)
R-HSA-1482612,2-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,2-acyl LPC,LCFA
R-HSA-1482685,1-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,1-acyl LPC,glycerophosphocholine (GPCho)
R-HSA-1482685,1-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,1-acyl LPC,LCFA
R-HSA-1482745,PG is hydrolyzed to 1-acyl LPG by PLA2G4B (IM),LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,1-acyl LPG
R-HSA-1482745,PG is hydrolyzed to 1-acyl LPG by PLA2G4B (IM),LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,LCFA
R-HSA-1482771,PS is hydrolyzed to 1-acyl LPS by PLA2[9],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PS,1-acyl LPS
R-HSA-1482771,PS is hydrolyzed to 1-acyl LPS by PLA2[9],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PS,LCFA
R-HSA-1482825,PI is hydrolyzed to 1-acyl LPI by PLA2[11],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PI,1-acyl LPI
R-HSA-1482825,PI is hydrolyzed to 1-acyl LPI by PLA2[11],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PI,LCFA
R-HSA-1482828,PE is hydrolyzed to 2-acyl LPE by PLA2[4],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PE,2-acyl LPE
R-HSA-1482828,PE is hydrolyzed to 2-acyl LPE by PLA2[4],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PE,LCFA
R-HSA-1482847,PG is hydrolysed to 2-acyl LPG by PLA2G4B (IM),LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,2-acyl LPG
R-HSA-1482847,PG is hydrolysed to 2-acyl LPG by PLA2G4B (IM),LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,LCFA
R-HSA-1482856,PC is hydrolyzed to 1-acyl LPC by PLA2[5],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PC,1-acyl LPC
R-HSA-1482856,PC is hydrolyzed to 1-acyl LPC by PLA2[5],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PC,LCFA
R-HSA-1482862,PC is hydrolysed to 2-acyl LPC by PLA2[7],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PC,2-acyl LPC
R-HSA-1482862,PC is hydrolysed to 2-acyl LPC by PLA2[7],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PC,LCFA
R-HSA-1482884,PE is hydrolyzed to 1-acyl LPE by PLA2[2],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PE,1-acyl LPE
R-HSA-1482884,PE is hydrolyzed to 1-acyl LPE by PLA2[2],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PE,LCFA
R-HSA-1482897,PS is hydrolyzed to 2-acyl LPS by PLA2[10],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PS,2-acyl LPS
R-HSA-1482897,PS is hydrolyzed to 2-acyl LPS by PLA2[10],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PS,LCFA
R-HSA-1482920,PG is hydrolyzed to 2-acyl LPG by PLA2[14],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,2-acyl LPG
R-HSA-1482920,PG is hydrolyzed to 2-acyl LPG by PLA2[14],LMP004303,"phospholipase A2, group IVF",Homo sapiens,PLA2G4F,PG,LCFA
R-HSA-429698,"PRKD1,2,3 phosphorylates COL4A3BP-2",LMP001778,protein kinase D2,Homo sapiens,PRKD2,CERT,monophospho-CERT
R-HSA-429798,phosphatidylcholine + ceramide <=> sphingomyelin + diacylglycerol [SGMS1],LMP002427,sphingomyelin synthase 1,Homo sapiens,SGMS1,Cer(ceramide),sphingomyelin
R-HSA-429798,phosphatidylcholine + ceramide <=> sphingomyelin + diacylglycerol [SGMS1],LMP002427,sphingomyelin synthase 1,Homo sapiens,SGMS1,PC,DAG
R-HSA-70349,DAK dimer phosphorylates D-glyceraldehyde to form D-glyceraldehyde 3-phosphate,LMP006684,dihydroxyacetone kinase 2 homolog (S. cerevisiae),Homo sapiens,DAK,D-glyceraldehyde,(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
R-HSA-5690043,"Cytosolic ACOTs hydrolyse MCFA-CoA, LCFA-CoA",LMP002212,acyl-CoA thioesterase 11,Homo sapiens,ACOT11,MCFA-CoA,MCFA
R-HSA-5690043,"Cytosolic ACOTs hydrolyse MCFA-CoA, LCFA-CoA",LMP002212,acyl-CoA thioesterase 11,Homo sapiens,ACOT11,LCFA-CoA,LCFA
R-HSA-389611,2-hydroxyphytanoyl-CoA => pristanal + formyl-CoA,LMP002572,2-hydroxyacyl-CoA lyase 1,Homo sapiens,HACL1,2-hydroxyphytanoyl-CoA,formyl-CoA
R-HSA-389611,2-hydroxyphytanoyl-CoA => pristanal + formyl-CoA,LMP002572,2-hydroxyacyl-CoA lyase 1,Homo sapiens,HACL1,2-hydroxyphytanoyl-CoA,Pristanal
R-HSA-6786720,DECR2 reduces LCtE-CoA to t3enoyl-CoA,LMP004857,"2,4-dienoyl CoA reductase 2, peroxisomal",Homo sapiens,DECR2,"a long-chain 2,3-trans-enoyl CoA(4-)",trans-3-enoyl-CoA
R-HSA-8868072,"Clathrin-associated PIK3C2A phosphorylates PI(4)P to PI(3,4)P2",LMP005380,low density lipoprotein receptor adaptor protein 1,Homo sapiens,LDLRAP1,PI4P,"PI(3,4)P2"
R-HSA-70881,beta-hydroxyisobutyryl-CoA + H2O => beta-hydroxyisobutyrate + CoA,LMP004216,3-hydroxyisobutyryl-CoA hydrolase,Homo sapiens,HIBCH,beta-hydroxyisobutyryl-CoA,beta-hydroxyisobutyrate
R-HSA-70881,beta-hydroxyisobutyryl-CoA + H2O => beta-hydroxyisobutyrate + CoA,LMP004216,3-hydroxyisobutyryl-CoA hydrolase,Homo sapiens,HIBCH,beta-hydroxyisobutyryl-CoA,CoA
R-HSA-1602368,PG is hydrolyzed to 1-acyl LPG by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PG,1-acyl LPG
R-HSA-1602368,PG is hydrolyzed to 1-acyl LPG by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PG,LCFA
R-HSA-1602374,PS is hydrolyzed to 1-acyl LPS by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PS,1-acyl LPS
R-HSA-1602374,PS is hydrolyzed to 1-acyl LPS by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PS,LCFA
R-HSA-1602377,PI is hydrolyzed to 1-acyl LPI by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PI,1-acyl LPI
R-HSA-1602377,PI is hydrolyzed to 1-acyl LPI by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PI,LCFA
R-HSA-1602398,PE is hydrolyzed to 1-acyl LPE by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PE,1-acyl LPE
R-HSA-1602398,PE is hydrolyzed to 1-acyl LPE by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PE,LCFA
R-HSA-1602417,PC is hydrolyzed to 1-acyl LPC by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PC,1-acyl LPC
R-HSA-1602417,PC is hydrolyzed to 1-acyl LPC by PLA2[16],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PC,LCFA
R-HSA-1602446,PA is hydrolyzed to 1-acyl LPA by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PA,1-acyl LPA
R-HSA-1602446,PA is hydrolyzed to 1-acyl LPA by PLA2[15],LMP000282,"phospholipase A2, group IID",Homo sapiens,PLA2G2D,PA,LCFA
R-HSA-1605591,Glucosylceramidase cleaves the glucosidic bond of glucocerebroside to form ceramide,LMP000283,"glucosidase, beta, acid",Homo sapiens,GBA,Glucocerebroside,Ceramide
R-HSA-1605591,Glucosylceramidase cleaves the glucosidic bond of glucocerebroside to form ceramide,LMP000283,"glucosidase, beta, acid",Homo sapiens,GBA,Glucocerebroside,alpha-D-glucose
R-HSA-71046,glutaryl-CoA + FAD => crotonyl-CoA + FADH2 + CO2,LMP000751,glutaryl-CoA dehydrogenase,Homo sapiens,GCDH,glutaryl-CoA,crotonyl-CoA
R-HSA-266046,"GGT1, 5 dimers hydrolyse LTC4 to LTD4",LMP001635,gamma-glutamyltransferase 1,Homo sapiens,GGT1,leukotriene C4,L-Glutamate
R-HSA-266046,"GGT1, 5 dimers hydrolyse LTC4 to LTD4",LMP001635,gamma-glutamyltransferase 1,Homo sapiens,GGT1,leukotriene C4,leukotriene D4
R-HSA-8943279,GGT dimers hydrolyse GSH,LMP001635,gamma-glutamyltransferase 1,Homo sapiens,GGT1,Reduced glutathione,cysteinylglycine
R-HSA-8943279,GGT dimers hydrolyse GSH,LMP001635,gamma-glutamyltransferase 1,Homo sapiens,GGT1,Reduced glutathione,L-Glutamate
R-HSA-8943279,GGT dimers hydrolyse GSH,LMP005881,gamma-glutamyltransferase 7,Homo sapiens,GGT7,Reduced glutathione,cysteinylglycine
R-HSA-8943279,GGT dimers hydrolyse GSH,LMP005881,gamma-glutamyltransferase 7,Homo sapiens,GGT7,Reduced glutathione,L-Glutamate
R-HSA-266046,"GGT1, 5 dimers hydrolyse LTC4 to LTD4",LMP002268,gamma-glutamyltransferase 5,Homo sapiens,GGT5,leukotriene C4,L-Glutamate
R-HSA-266046,"GGT1, 5 dimers hydrolyse LTC4 to LTD4",LMP002268,gamma-glutamyltransferase 5,Homo sapiens,GGT5,leukotriene C4,leukotriene D4
R-HSA-8943279,GGT dimers hydrolyse GSH,LMP002268,gamma-glutamyltransferase 5,Homo sapiens,GGT5,Reduced glutathione,cysteinylglycine
