"","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"LPC 44:8-SN1",14593763,17288546,20642636,11348163,14074842,10017066,14405858,15842764,14324622,10398488,13862680,14978795
"PC 42:1",408468,81693.6,81693.6,6079034,23796196,66362016,6144669,21706260,29634944,39622612,56020516,42257984
"TG 52:4|TG 16:1_18:1_18:2",2764169216,2808688896,3168635136,1998431616,2092303872,2199121664,2859081728,3535481600,3273078784,2363608320,2696036864,2661283840
"LPC 44:7-SN1",26157924,31259722,36718884,27776156,33774616,27409902,33609288,32445870,29862402,31702986,34842068,34454992
"DG 10:0_44:10",14645484,18297098,11949195,10617424,10891113,20472198,18842264,12070846,12668115,20022124,15585823,17759834
"SM 46:9;2O",10162754,9300193,12411834,5984312,5666677,3025353,5732198,6427719,6773149,1427525,2729076,5761818
"SM 8:1;2O/40:11",1296906,2781522,393746,2320758,10096958,8566655,10929675,8460707,9635483,19595182,27752504,4979872
"PC 42:9",2199630,1746264,3348327,5616978,7226163,5926534,3997317,3768220,1895087,3014832,4241268,3199230
"DG 10:0_44:8",1275900,2974067,736214,8494547,4194550,2071622,3925359,5998600,10232283,9442447,4511455,982663
"TG 52:3|TG 18:0_16:1_18:2",53118212,43112808,31957962,94182328,118371344,131308096,98071040,85296272,84510360,102754392,119750672,93994704
"TG 52:3|TG 14:0_20:1_18:2",42437232,45165136,54254888,7478826,7692966,9308074,23000042,51231424,37404676,24874894,17429604,27380458
"PC 42:8",12075.2,12075.2,433268,2143615,3630615,530357,12075.2,60376,12075.2,12075.2,12075.2,12075.2
"TG 52:0|TG 16:0_18:0_18:0",232188416,92416528,72785024,63346912,50876972,86627808,44545692,87639920,77778192,32352808,31866528,56101880
"PI 36:4",7560162,7911702,13656045,5409800,12854968,8556107,12638284,16745180,16488114,11389504,13869153,19742848
"TG 52:2|TG 16:0_18:1_18:1",45496628,31959174,37993396,18656176,19254146,18550458,35868892,34730092,37346308,32705408,38998844,33919124
"TG 52:2|TG 22:0_14:1_16:1",55020392,26751104,53030532,53401912,58735752,55463160,59849164,73579656,71800528,48030572,60875408,83110384
"PC 42:7",22310618,17471210,39507484,18594686,54487072,28569122,31106604,50549276,51058540,36883196,43136476,68990352
"PC 44:10|PC 22:4_22:6",7357544,8136898,11262678,25807970,36644352,28666004,9191075,11269631,8870109,8541747,7220283,9097307
"PC 44:10|PC 22:5_22:5",14454605,16435137,21647978,29175744,31573154,29225862,20336590,18716828,18140174,18218676,21221558,18779394
"LPC 42:0",4545896,3778755,1997531,5867930,22595128,20049876,16884354,31486294,11815969,21022320,26490062,19082636
"DG 18:0_36:6",45097448,36254124,38356260,10221555,2522715,2195408,19050916,23496110,20798952,9649322,22577362,19522810
"SM 46:6;2O",3749432,3158357,7194582,17644856,46823820,87244096,14139826,68008512,25001484,55685996,81151520,55108588
"TG 8:0_8:0_36:1",3833269,4390360,4205437,4431385,4415818,4395985,4330958,2849503,3406033,4608828,3663959,6082300
"TG 52:1|TG 18:0_18:0_16:1",97620928,86976024,116707216,26680788,11497896,13485187,70230624,86433728,89425688,58930452,81747040,73125672
"TG 8:0_16:4_30:8",2673096,2317607,3489903,2477736,2934713,1365744,3324039,2449312,3018029,1360342,2589696,3154372
"LPC 44:2-SN1",6188303,4114956,8401830,10259853,63335844,89239096,15026265,26526120,54611092,107928344,141511712,121658080
"DG 16:0_38:5",73342888,88298016,108776912,29941398,17629258,5760230,36072636,94280976,71915560,26905020,35058244,40287348
"SM 46:2;3O",31487742,35645204,30044116,29881682,35580296,36856612,44594780,37121208,31204848,38412860,29288246,29771152
"TG 8:0_8:0_36:0",363227264,377280768,404936544,95514472,65893756,42910348,209272576,324343424,249327968,169753920,207291888,216988288
"PG 22:5_22:6",9192956,10019470,11702092,18640128,21153512,19989210,5672538,5699676,4255103,5326968,6590204,5533821
"DG 18:1_36:3",10147685,10327685,18733630,878722,709387,223995,12108968,30546214,25664592,8157264,9072000,10380188
"DG 10:0_44:4",20759802,24665776,29519084,7135178,6015732,1406945,12838906,40670988,34442608,12997163,12554362,14170274
"SM 46:1;3O",25130264,42546444,26440346,101971456,89782352,72965712,27562884,58865496,69110624,52054568,45971948,19025128
"PS 42:5",1159145,1650894,2646141,6584416,10263862,6051591,1008058,450227,779564,1017463,593683,578945
"LPC 44:0-SN1",17973622,15943880,7837503,23188678,34165712,43527128,35889712,34066664,28040730,42936392,39838556,40965284
"DG 18:1_36:2",349500928,428079616,528308800,42793280,25002874,14287309,272756768,1019863872,775055040,213732144,242027600,325125248
"PE 46:10",4553082,1859336,3309740,11916009,19757984,16064036,13678325,5809131,9171706,14757272,19768976,14188304
"PS 42:4",22373594,23595922,21059812,19625246,18556356,18407906,15531290,18462822,16510442,15770880,18965378,15153143
"PC 42:3",45431180,44488528,52596024,24524508,63032816,48769240,43413452,40067352,28178312,33798344,32128182,39746124
"TG 8:0_8:0_38:9",10133230,11471229,12399685,4071803,726515,2296713,6991354,13754934,8582015,5902901,2016957,7289720
"TG 54:9|TG 18:3_18:3_18:3",3774494,4746749,3019948,12957269,16685733,16313522,16859672,15431344,15233279,17219536,20539534,18297652
"DG 18:1_36:1",32231954,41246884,54365632,6584036,3410440,742123,14336728,85558056,55489504,8825266,11765308,18869424
"PC 20:2_24:3",1805991,3864872,453481,5667088,13393898,21250828,6696284,5471520,7055366,15710691,13378483,2516680
"PC 18:0_26:5",1341080,3644858,1155031,11666007,13987051,13871038,46812,9437,1887.4,581892,567828,368203
"TG 54:8|TG 18:2_18:3_18:3",98612312,80366104,57233300,159619440,197628720,242356656,256273360,205577088,195502256,203670512,221110128,232717504
"TG 54:8|TG 16:1_18:3_20:4",189097408,214779360,258023600,91795368,78384656,64679648,179423024,234770320,207218032,146834176,164767264,165496720
"PC 20:0_24:4",1897705,710405,142081,4060778,16766957,29207730,12261435,8291014,6845246,7660228,15039858,9664821
"TG 54:7|TG 18:2_18:2_18:3",710658112,610731840,434322432,1138079104,1503910784,1872450432,1478390144,1293853824,1270464768,1487678848,1298511232,1526180352
"TG 54:7|TG 14:1_18:1_22:5",708278016,814548288,935946688,407072640,306880800,135858256,536966464,814254720,715919104,478127776,561886272,518807552
"DG 16:2_40:11",7307410,11267927,7495452,35601020,24592122,25741830,17816256,31990566,22201986,32583554,24185390,21222414
"TG 54:6|TG 16:1_18:1_20:4",3075624448,3714545920,4174365184,686033728,534575456,604834752,2604293376,3953619712,3306246912,1797726208,2458462208,2221766912
"DG 12:0_44:12",8231733,6617674,3628395,13093057,41915184,35803048,22753580,21753702,21695464,54608344,35121204,36175436
"TG 54:5|TG 18:1_18:2_18:2",3959269376,3747537152,4015890432,5074534912,5199853568,5296643072,4440810496,4897778176,4679241728,4058185216,4315960320,4460323840
"TG 54:5|TG 18:0_18:2_18:3",1930853120,2049632640,2246675968,602373312,486289632,461071104,1742318976,2572253184,2284472576,1592552704,1852027392,1762223616
"PG 22:2_22:2",304065,420509,135782,10002336,40415868,41029708,1222516,16105127,8278624,10067190,11559750,8427559
"PS 44:12",6647604,6935028,4178020,6288138,3693782,1974767,2937069,2816287,5440961,438730,3140007,3350897
"PC 44:11",790659,704048,2164308,2934624,5630996,2701877,2497553,1751164,2528756,885303,1594665,2050211
"PG 26:1_18:2",3032258,2058093,2068843,8093254,19976996,40790236,7793529,20209180,25612880,31441996,42271088,36080196
"DG 12:0_44:10",788869,906273,157773.8,2854138,10657645,7833194,11583230,1720749,5381646,11319152,3816581,11464237
"SM 8:1;2O/42:12",5811153,6302974,8459518,6095703,5894546,6289106,7249424,8517709,6025854,5874820,7313290,6238188
"SM 48:10;2O",269489.6,269489.6,1347448,8628188,19585582,28483662,4383589,39291920,20408622,32723946,51871340,28803518
"PC 44:10",1204492,1201041,551507,328190,2142501,17702326,4644600,1705574,8563878,45977864,26897140,8783052
"PG 24:0_20:2",2680952,3142836,2084705,10212147,19415872,26306114,7926518,12979484,24625932,27281036,33578096,24354150
"SM 48:9;2O",7286599,3972947,12464712,24383142,61412476,117175040,23724812,111831024,47348800,84115232,118699672,82769112
"TG 54:1|TG 16:0_18:0_20:1",240089248,257723584,299824160,98412088,87059184,69908784,77363744,238591168,193099728,64533460,72711880,86557264
"TG 8:0_10:0_36:3",118415856,168439744,155674528,37236908,20016416,18245376,58881712,178578816,68696928,68126056,65990580,70920576
"TG 54:3|TG 16:1_16:1_22:1",250573904,300699872,354060928,94259088,81754264,54670080,184996416,262347536,224430864,145027808,168694192,156695840
"PS 44:9",4795467,3421218,3795920,4608978,1471089,69887,3764075,2449538,3233686,2671460,3031775,981104
"DG 12:0_44:7",50209888,107889776,50024580,64091588,47708904,27082098,123589472,209288272,153393648,102701104,134936512,128573912
"TG 54:0|TG 14:0_16:0_24:0",40662264,30810852,16934778,18217104,18326064,43371092,15117146,26765280,22939888,3293483,10554330,18515990
"TG 54:2|TG 18:0_16:1_20:1",132292696,153755264,187352224,33846856,21676544,16199888,65467792,97130064,80268008,49794612,62668444,62600736
"PS 44:8",1408858,601523,82494.8,1802639,82494.8,2369565,82494.8,451601,516113,856696,412474,82494.8
"PC 44:7",23218138,26269614,25371698,33822476,31889824,25418056,12817137,9211392,11697497,13537042,12345364,10375359
"DG 12:0_44:6",4180055,7749606,1558048,4373726,30840502,10090524,9598009,6617766,5270978,23012758,14330365,16392287
"DG 18:1_38:5",191417072,214260304,276929504,71298432,51367944,27100566,136776640,321702592,259050336,109951720,132384456,152650448
"PS 44:7",24539872,29054200,29027274,27383688,25442746,24748952,23266980,22561632,22382556,23298164,22046394,21586950
"PS 24:4_22:6",7465100,4761058,6167316,6066319,4147093,3140616,5183550,5054568,5064583,5861636,5261866,3360782
"PI 38:2",7148418,6359254,18816596,5320328,24245438,11621218,10202037,23808798,21938904,19003626,18522594,27182334
"TG 54:0|TG 18:0_18:0_18:0",53538356,80955224,85287976,13467955,4885285,5677420,18057172,41914308,41794704,15638084,19959224,24934950
"PI 38:1",7138960,3243364,11951027,5228214,12259711,6496566,8908298,8070782,11457748,5483062,3140324,13509560
"PC 44:4",9768998,10495338,19597568,16526156,16238793,17702392,45113,2995561,1765492,2037466,8117558,2607643
"TG 56:10|TG 18:1_16:3_22:6",22778282,28607094,35390872,12973493,12196292,10728617,27105954,34970636,29188874,18903122,22602196,18714016
"TG 16:1_20:4_20:5",16718762,18322884,19285970,8920609,9624922,5561716,10887980,12867777,8730722,6723549,6657498,9368134
"DG 18:1_38:2",10068339,11584083,15252873,708855,141771,141771,3803873,32018228,21435772,2843655,3747607,8310043
"SM 48:3;2O",9283307,11296456,12627246,4700712,1818983,4830118,9873601,9999212,9304192,965163,3464088,6865222
"SM 48:0;3O",88245.6,441228,5570895,5956374,12001917,21043090,1263434,4265236,15741459,14539576,25680258,16189721
"PC 44:3",24827470,31049604,33081388,22716628,34164520,30352238,24831904,25332296,23348940,20372418,20628890,22778466
"TG 56:9|TG 18:1_16:3_22:5",94095528,119406288,158904832,54355368,58489800,48846836,97561248,136592096,118236952,94986176,111393968,95999584
"TG 16:0_20:4_20:5",40891356,44602256,58052960,17909920,10004198,15975754,56387032,58370252,57882304,35504520,51539656,46112620
"TG 56:8|TG 18:1_18:2_20:5",2133253504,2404064512,3089286656,628117504,548717568,448475840,2341602816,3312740608,2832541440,1948984576,2438278400,2095116928
"PC 46:4|PC 18:1_28:3",1984706,4116321,3760192,10979667,13665334,15211436,7887888,10335647,16628586,26604418,14528189,5246482
"TG 56:7|TG 16:1_18:1_22:5",8041204736,9438670848,11670062080,2249394688,1936647424,1704860672,5465907200,7859124224,6914159104,4856157184,5476678656,4805811200
"TG 56:7|TG 16:0_18:1_22:6",1515664512,1640076544,2017593088,434202944,297093376,252373776,1787131008,2352916992,2010276096,1227288576,1638200192,1476209792
"PE 22:5_28:5",1102014,7359144,2918300,20982122,31763490,46143924,3904935,11236011,15105487,26769994,21646758,10939934
"TG 56:6|TG 16:1_18:1_22:4",23638441984,26776983552,30872977408,8465215488,6671344640,5359783936,15835064320,22520244224,20134936576,13219193856,15308931072,14500834304
"TG 56:8|TG 18:0_18:3_20:5",8907859,5017409,5944484,14289532,31602448,61678276,7830623,12959989,21287770,31239588,18436476,13189314
"TG 56:8|TG 16:0_20:3_20:5",5694580,1353546,1695807,3588612,35976396,39913776,21999142,53613772,11760481,18278748,46337032,31844768
"TG 56:5|TG 16:0_18:1_22:4",11347374080,13282840576,15441770496,3290705920,2475744000,1867262976,6041986048,9588381696,8642732032,4998718976,6595537408,6096961536
"TG 8:0_10:0_38:7",15851805,36978728,26410368,75071984,95134312,80708944,36685800,64567220,92441480,134934368,87156288,22488762
"PC 46:12",38631,38631,193155,38631,3637970,11796239,2610826,7700592,1909716,10003448,22369642,20070788
"TG 56:4|TG 18:0_18:1_20:3",3026612992,3308637952,3719897344,1029030848,760312320,409030560,1626933760,2818397952,2524824064,1422770560,1676318976,1721040896
"TG 56:6|TG 18:1_18:1_20:4",97864720,92495184,105118624,26235950,18294866,17586408,67525344,83408576,84668880,59205204,62769828,54211904
"SM 8:0;2O/42:0",3094685,4086666,5976714,4025709,6207232,7289306,4571072,6181698,3707209,3257445,2506111,5082200
"PI 40:5",16679462,14760397,33866944,11723080,39894440,24836956,19099398,41667180,46583184,33151442,33928448,45520316
"TG 56:3|TG 18:0_18:1_20:2",1235116544,687262144,1333266176,431362784,288303360,212032896,799488576,1117698944,1063712512,690734336,853631744,867140608
"PC 46:10",21030218,27690280,20424414,79405600,279019456,975918208,276277888,205105536,397276992,2254779904,1422172672,547024256
"DG 22:1_36:8",38907004,39607556,53508184,8083164,9520890,4897742,36379540,63105180,64751116,47688872,57506448,37003556
"TG 56:2|TG 18:0_18:1_20:1",1030070208,1191294080,1508674048,195140720,128048560,72395328,287137088,954392960,779725120,239527264,281252640,355094592
"SM 50:9;2O",6167284,15722630,14863637,34374804,109676008,94911648,51854396,90662176,69338616,120662544,124712296,30969852
"TG 56:4|TG 18:0_18:2_20:2",266193568,309923232,334337472,83318272,70828960,55505924,180965024,259161184,204741392,165507232,188547088,169094016
"TG 8:0_10:0_38:4",6820836,8362910,9022226,8439073,9823937,8662327,6364248,7736552,7421670,5661910,7745796,8460976
"PS 46:10",8669409,9625514,8245022,7317248,8586536,6860278,8450638,4409093,7595146,6814618,7148086,8619648
"PI 40:3",55120408,57901344,51607756,42271044,38554732,36584536,48356676,47133988,47184696,65396736,54043268,50884540
"DG 36:2_22:6",39363744,41643540,41945800,25652230,20896708,16896374,83661248,148713136,132809824,59062692,91991512,96435912
"TG 56:3|TG 18:0_20:1_18:2",240971552,264820400,315419648,64947080,51575756,34389412,96221816,144459568,130198008,74411504,103346720,92278440
"DG 18:1_40:6",104187104,125387496,153062352,29192402,19758842,11227775,108308064,241639024,202554160,94232208,105299560,116222656
"SM 8:0;2O/44:10",61875152,160457648,97330072,372328544,546148160,474072768,185062816,297116704,499393664,865752832,514700928,150813328
"SM 50:7;2O",272252,35127.2,175636,3000219,2930456,12346487,4903692,1947971,2617452,3891402,2664615,3067361
"TG 8:0_10:0_38:2",51232416,59171908,75841992,15507614,12520395,10544443,44234240,65251260,39429364,21613820,52025620,53463940
"PI 40:1",5432342,3867587,1806072,2338166,5916576,5107394,14898773,10828342,13987362,15137962,20581826,22284378
"DG 14:0_44:6",5297183,8631745,2697167,16912702,36277708,33127520,23729472,12738936,16179399,34801788,34509728,26746840
"DG 18:1_40:5",36426020,42980648,50352872,14779268,8523418,1880002,18355812,58103592,44867696,12447987,17840528,22640356
"TG 16:4_16:4_26:7",70854.6,354273,70854.6,3164207,2585182,22867810,70854.6,2274291,1415964,10824043,4496902,6158160
"SM 8:0;2O/44:9",2745244,1922518,2939104,5611971,10768147,10805121,4319370,3407746,11474440,26902454,15931273,1155393
"PC 46:6",11525541,14241054,15561476,5082188,8094040,7314344,5557238,7871594,3524246,4546000,5960428,7572316
"PI 40:0",496288,3385316,887036,5222242,20231754,16759183,6156141,5538674,9708208,32823332,11135150,7948876
"TG 8:0_18:5_32:9",2459744,2040939,2395156,5616750,15407174,15711299,13980375,13508624,12137865,26550484,15778847,19481986
"SM 8:0;2O/44:8",11766280,7814663,6559558,12909173,45459048,68565536,32263856,23512334,14568938,29046824,54630504,36835572
"TG 18:1_20:5_20:5",23181374,25573856,14501916,30859688,15228804,1785080,31829622,48072652,39382140,35677944,22113068,6261779
"TG 58:11|TG 16:1_20:4_22:6",80386744,99539856,118611016,59870428,50661272,46722880,104296608,142902048,103484224,87552184,91783200,88845688
"PC 46:4",170041280,193821264,232215776,183792688,227958176,218615760,162024128,155023056,146091488,147940672,175681040,159218656
"DG 18:5_42:12",3183864,2821103,6406143,2075860,14625160,12784951,7687896,24240950,4747550,9974234,17594206,10666348
"TG 58:10|TG 16:1_20:4_22:5",363280640,445854048,583647424,242528752,236913584,222821728,291286400,388451808,331307008,267844800,279526944,255832464
"TG 58:10|TG 16:0_20:4_22:6",52017088,55244532,73609640,20872140,12489393,11791887,66614952,85637344,83145864,60265500,75042736,62282056
"SM 50:3;2O",5676204,2292030,509581,7347444,14901622,46294980,10813045,4643562,3928958,10234148,6244242,6824012
"SM 50:0;3O",8590067,9856456,11505653,11558824,22598988,21617888,16639821,17671400,19644646,13240114,19358920,17269178
"PC 20:2_28:4",131339736,152635216,170293872,131973920,211545184,166019056,129283104,152922528,123379848,115158992,125156648,121326024
"TG 58:9|TG 18:1_18:3_22:5",1546962432,1829469056,2405809664,646110528,669036736,563547072,1148239104,1552064256,1325118976,1056955264,1260562944,1037021888
"TG 8:0_14:1_36:10",36247056,39537204,46980384,40231456,60410692,55165008,38902056,44999636,30978214,30579516,31317910,33211574
"TG 58:8|TG 18:1_18:1_22:6",18879313920,21440638976,26920810496,4537798656,3782335744,2814162688,14463076352,18783111168,16708858880,11486111744,14329502720,12651833344
"TG 58:10|TG 18:2_18:3_22:5",5029044,9134555,12027951,11455782,29689240,22849648,20875666,41715460,26900978,36875048,37264304,22277506
"TG 14:1_18:2_26:7",23889962,37882084,47280416,98055864,137361072,105777656,65712196,74810432,130616784,238708640,139617024,30259938
"TG 18:2_20:3_20:4",8671651,682628,897473,1421068,18207968,40670736,15802521,15611638,7796308,17627718,20587774,19269118
"PS 46:1",22137670,28652994,33519978,33809384,90648400,149596320,52273632,94035904,66250952,301202240,108016784,71568760
"PC 20:0_28:3",6809174,2678318,1440844,12212879,35347364,25126052,19057466,9992117,7979877,25085672,9946285,32706956
"PC 46:0",43357376,83735272,65722976,156267728,185583776,160080400,64187684,130001848,163980368,224522176,145515440,52377000
"TG 58:6|TG 18:0_18:1_22:5",17968070656,20790896640,23953350656,5668883968,4425014272,3178582528,7466981888,11912085504,10988272640,6220738560,7960321536,7464309248
"TG 58:8|TG 20:2_20:2_18:4",12632632,5561426,2823059,6427466,22716322,26100278,14419393,37184024,23526594,23744000,38121144,32318596
"TG 18:2_20:3_20:3",25913690,3283683,4221274,4471878,4417498,17834816,36169764,5285212,23635008,32901626,53476016,84670600
"TG 58:8|TG 18:2_20:3_20:3",5134892,84940,762592,1228028,22675488,17397356,34729196,34811332,6260960,8790479,10619521,14736332
"TG 58:5|TG 18:1_20:1_20:3",2504580352,2892828672,3547921152,787704320,528010272,344299872,913710720,1825695744,1594293760,824188864,955697472,989757440
"SM 52:12;2O",4583938,6555012,6406920,6265307,4868350,6036780,916787.6,916787.6,916787.6,916787.6,916787.6,916787.6
"SM 52:9;3O",42483588,41997752,23246500,36709264,36738428,41986692,1172329,7534022,4969448,8451600,4624154,293600
"TG 58:4|TG 18:0_18:1_22:3",745687808,835697536,1003836160,169351824,103686632,73209192,275439200,686108160,600770688,233260624,302487296,337936128
"SM 12:2;2O/42:12",18594452,48844476,45379584,69097264,48188156,50201220,32328890,39553532,64166672,100460840,51063476,17862916
"TG 58:6|TG 18:1_18:1_22:4",79618976,101118312,110373016,33104676,21442150,13375160,36375524,47585876,58103568,27283428,38526660,29626494
"PI 42:7",3175492,5793116,3818693,5673486,5148160,5099532,151545,26812.2,134061,26812.2,26812.2,262655
"TG 60:15|TG 20:5_20:5_20:5",250662000,274512096,306092608,255579616,218533552,203740112,44664404,66123564,72175632,74498040,37916452,17298240
"TG 8:0_12:0_38:1",6182325,5656551,6194094,2184344,2862280,2835957,5599,5145752,4094123,1011702,1598438,2114808
"SM 52:8;2O",12351286272,22415251456,17970026496,42225238016,46987161600,44584943616,26374936576,33787940864,50463117312,63499747328,47022600192,18056937472
"TG 8:0_14:0_36:3",15245856,14145312,21443416,5713560,3907531,1434243,2091493,8551658,5350646,1342368,3221127,3191700
"PC 48:8",4080932,2215264,6660104,5546672,266058,2757070,53211.6,274923,53211.6,53211.6,53211.6,53211.6
"DG 16:0_44:7",752657,1637877,150531.4,5731950,4583108,6771699,4466126,4763936,3836128,4671749,8221986,4614934
"DG 16:0_44:6",13048219,19029196,23309848,7539620,4932290,1303768,2383605,22945062,11417736,2175946,1203888,5227922
"SM 52:6;2O",2182075,6646934,3405540,11014448,43938124,45335592,25822992,42050532,24841302,58769112,53785052,27751864
"PC 48:6",85028432,96932616,109944448,79874688,89626400,71964728,58823872,63109012,57076408,36554292,46218472,46827520
"TG 60:12|TG 16:1_22:5_22:6",233272528,269391488,342431904,128615408,120066888,100425448,240646496,274941568,260693776,207922752,236214048,236043056
"TG 8:0_16:4_36:10",3025566,4904960,4743519,3698714,3775717,2691666,657911,2294720,2805714,1657301,2809846,777698
"SM 52:5;2O",7108132,11728573,13034606,4110224,3153452,630690.4,14924069,17364898,20361420,18702212,16083986,14151411
"PE 52:12",98739944,108759040,110452632,102226816,120729824,124455240,11058059,11501247,10152973,17688796,15759154,11453714
"TG 60:11|TG 18:1_20:4_22:6",1228377856,1473121920,1811393280,601295296,567666432,447087776,1062183872,1373421184,1197862272,926356992,1105143040,1004155136
"PI 42:1",23928196,21031328,25393512,24400512,33629924,37772296,2179852,3537332,2273583,350925,111921,5142887
"PI 44:12",1656782,1799684,1810072,1249138,1225361,1473590,245072.2,245072.2,245072.2,245072.2,245072.2,245072.2
"DG 18:5_44:12",3826561,4139868,1574306,5777382,19935576,12787219,7657134,7584336,11046936,41551312,23249836,2499740
"TG 60:10|TG 18:1_20:4_22:5",1959731968,2283108608,2835404800,948259712,898121536,814110784,1188559616,1567796736,1303702912,1144410240,1324134656,1145850752
"TG 60:12|TG 18:2_20:5_22:5",13237529,14131421,10386968,13439477,42497276,34872348,22141912,49258296,23108044,41089124,32001558,26969802
"SM 52:0;3O",27177120,37622744,54269092,5334882,6389679,6873326,67906568,83725616,78520968,60698624,80227360,77157624
"PC 48:3",134989216,146450976,177734432,141209120,203542544,158951552,107178064,127911256,121038704,83872856,94514560,106281568
"TG 60:9|TG 18:1_20:3_22:5",1255729920,1459520384,1874887936,736140416,639481152,545674752,653363520,894158400,771400768,636628608,717677760,668130496
"TG 60:11|TG 20:3_20:3_20:5",5408687,12113980,8291869,21490746,35393552,43422280,18375744,18626610,37366576,78293616,39728432,12953941
"PI 44:10",997493,1916130,1852418,1194202,2580624,1951822,30343.6,151718,30343.6,30343.6,30343.6,30343.6
"TG 60:8|TG 18:1_20:1_22:6",1161507456,1314077568,1490842240,459337504,362737088,274284224,752270272,1154993920,995957760,605968640,866978944,732602368
"TG 60:8|TG 18:1_20:3_22:4",546979904,583964416,622022528,333977344,261357104,219235376,305376000,434027776,387651296,318788128,356330368,344209088
"TG 14:0_20:3_26:7",102856248,308472192,204392480,550179200,716755712,725403200,248466496,426349248,705693440,1155061632,630623872,161442416
"DG 20:2_42:12",33196684,41717684,65072908,3413031,1965583,922184,22300766,17542306,17521526,15134910,21625316,17747756
"TG 60:7|TG 18:1_20:1_22:5",1632390912,1932496896,2203937792,843993920,651477120,458150176,910374464,1537542400,1387318784,900469440,1123115776,1052457280
"TG 60:9|TG 20:3_20:3_20:3",24139838,44915924,37569604,91453264,83805312,78154784,48334848,57571220,97086032,124210688,88621008,32138346
"SM 52:0;2O",20663868,25990664,36585092,4906362,3882472,2202545,22349216,41359068,34995656,14363527,16604505,18848568
"DG 18:1_44:12",1285715,67276,23152,5318562,10254451,12475506,746427,8068228,7266880,12589919,14389605,12310378
"TG 60:6|TG 18:1_20:1_22:4",1712689280,1967611904,2526945536,671425792,432367680,301142080,558707264,1128280576,958860928,509193248,586322304,620856896
"TG 8:0_14:0_38:8",40002264,67870184,52605660,108538912,122305064,129676880,49767556,85090336,125762512,163463136,120231152,37060992
"PS 48:0",177286160,161406080,152116992,199146656,311189024,172053472,502367072,365966976,552193408,854352576,628589696,507971040
"TG 60:5|TG 18:1_20:1_22:3",230526576,268827232,298938880,80596560,53683192,32988052,71109160,178936128,156490896,64527656,73350976,89161520
"SM 54:12;2O",28226782,37658456,39203036,24411594,17207478,16389793,1145089,1283801,1392512,520418,742035,336402
"TG 60:7|TG 18:0_18:1_24:6",75093256,142762560,132001240,258105744,235641584,195470688,107738216,174590784,251279696,285526400,221170928,70655360
"TG 8:0_14:0_38:4",7060672,21085596,5462622,8571076,5053806,2172592,5637040,297497,10090964,14680602,22234442,8164148
"TG 60:4|TG 18:1_18:1_24:2",136698240,167131072,195172240,31688120,23472160,11753140,46566396,148868576,114575128,36637928,44685496,53070868
"SM 12:2;2O/44:12",288971328,459445120,442394208,493967200,418711488,402970144,417833024,423785472,473759936,456635808,425892192,239097424
"SM 54:11;2O",1503236,1182503,857096,2102132,13637189,9568471,7966298,17572186,5983945,14543710,16986638,8973128
"PC 22:6_30:8",32352020,39829076,34880476,41459112,39913976,43241760,5493810,3526140,2326270,3653376,685617,448815
"TG 60:3|TG 18:1_20:1_22:1",119755888,147771104,197690320,26593552,21730324,9555190,30764080,153317328,108187320,24462776,34348840,47145316
"PI 44:7",850847,1308554,151300,1914140,2061173,2298391,3113,622.6,622.6,622.6,622.6,622.6
"PC 50:10",22407306,31224876,30795964,19914292,9912199,16945962,183643.8,183643.8,918219,183643.8,183643.8,183643.8
"PI 44:4",4040038,4039187,3150693,10939247,32081120,66431840,16168593,19001682,20114924,29310888,34447660,17921674
"TG 60:2|TG 24:0_18:1_18:1",10242252,12344320,16308521,2112698,1125158,272353,590876,9343090,8288530,633500,9486,682611
"PI 44:6",8471675,10980945,9510379,9247939,12620004,10115106,847121,660732,733204,1359003,471417,483129
"PC 50:9",50542.2,3944040,383154,7530944,13047290,23279126,252711,4488486,8002719,17812122,7640206,813005
"PC 20:5_32:7",1729891,2004350,752475,5031246,20411526,33031308,6554444,9073205,7487930,14432238,16691465,15501357
"PI 44:5",4036984,6306404,3969166,5947864,4979680,6566900,18456.2,92281,18456.2,18456.2,18456.2,295784
"SM 54:8;2O",26133960,79450544,48529380,155166976,169415696,138551488,53073748,104371144,174654448,271784832,137287024,31178588
"SM 54:5;3O",8498881,12795952,32273626,179453.8,897269,3347100,33326504,32314928,24645978,36026532,30439006,34132884
"DG 18:0_44:7",703238,953035,140647.6,2360629,4847088,4748883,2326390,4842558,3875970,4404361,6150176,6759408
"TG 18:4_18:5_26:7",18744932,7373808,9573190,14072868,69941240,77797536,85427648,73849432,46547244,88826544,126149952,59628740
"SM 54:4;3O",13307090,22517996,30815324,2248168,3901152,3735615,42627960,30367320,41116996,47688264,51305432,48346404
"TG 62:13|TG 18:1_22:6_22:6",286296608,362505920,465714720,84601720,95101168,77329216,314985280,319168288,307451328,271137376,280372000,264755040
"TG 62:13|TG 18:2_22:5_22:6",30565056,39436996,43033912,17400376,18738094,16969114,22767142,33439276,24934082,28381630,25377164,27921448
"TG 16:3_16:4_30:8",7762610,1230933,620637,1048593,12165637,7923147,27914968,39827720,9583257,12715418,26594228,52238180
"PE 54:13",26235764,26245662,33593756,25987080,37289068,36564832,29860512,31106588,27340790,32639592,33331540,34039680
